会      計,歳 入 決 算 額（円）,歳 出 決 算 額（円）,差額（円）
一般会計,6964118037677 ,6693201515280 ,270916522397 
特別会計(15),4407564301383 ,4181568921517 ,225995379866 
合     計,11371682339060 ,10874770436797 ,496911902263 
,,,
, ,,
