準公営企業会計資金,,,,,
,,,,,
,"令和元年度
第2四半期(A)","令和元年度
第1四半期(B)","対前期比
(A-B)","（参考）平成30年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,1兆370億円,1兆342億円,28,5150,5220
利回り,0.00007,0.00006,0.001,0.00008,-0.001
運用収入,1936,1634,302,1005,931
