準公営企業会計資金,,,,,
,,,,,
,"30年度
第3四半期(A)","30年度
第2四半期(B)","対前期比
(A-B)","（参考）29年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,5164億円,5150億円,14億円,4980億円,184億円
利回り,0.008%,0.008%,0,0.006%,0.002
運用収入,1066万円,1005万円,61万円,769万円,297万円
