全体,,,,,
,,,,,
,"令和元年度
第1四半期(A)","平成30年度
第4四半期(B)","対前期比
(A-B)","（参考）平成30年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,"5兆9,931億円","6兆3,050億円",-3119,"5兆5,580億円",4351
利回り,0.00038,0.00037,0.001,0.00042,-0.004
運用収入,"5億7,346万円","5億7,774万円",-428,"5億8,271万円",-925
