基金,,,,,
,,,,,
,"30年度
第3四半期(A)","30年度
第2四半期(B)","対前期比
(A-B)","（参考）29年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,4兆1441億円,4兆1723億円,△282億円,3兆8376億円,3065億円
利回り,0.055%,0.052%,0.003,0.059%,△ 0.004
運用収入,5億7955万円,5億4314万円,3641万円,5億6724万円,1231万円
