歳計,,,,,,,
,第1四半期,第2四半期,第3四半期,第4四半期,"30年度
(A)","29年度
(B)","対前年度比
(A-B)"
平均残高,1兆822億円,"1兆5,521億円","1兆4,369億円","1兆6,871億円","1兆4,392億円","1兆1,891億円","2,501億円"
利回り,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,△ 0.001
運用収入,"1,989万円","3,324万円","3,100万円","3,287万円","1億1,701万円",1億259万円,"1,441万円"
