基金,,,,,
,,,,,
,"令和元年度
第3四半期(A)","令和元年度
第2四半期(B)","対前期比
(A-B)","（参考）平成30年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,"3兆9,314億円","3兆9,872億円",△558億円,"4兆1,441億円","△2,127億円"
利回り,0.00055,0.00052,0.003,0.00055,0
運用収入,"5億4,791万円","5億2,251万円","2,540万円","5億7,955万円","△3,164万円"
