全体,,,,,
,,,,,
,"30年度
第1四半期(A)","29年度
第4四半期(B)","対前期比
(A-B)","（参考）29年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,"5兆5,580億円","5兆6,954億円","△1,374億円",5兆148億円,"5,432億円"
利回り,0.04%,0.04%,0.002,0.05%,△ 0.007
運用収入,"5億8,271万円","5億6,684万円","1,587万円",6億932万円,"△2,661万円"
