準公営企業会計資金,,,,,
,,,,,
,"令和元年度
第3四半期(A)","令和元年度
第2四半期(B)","対前期比
(A-B)","（参考）平成30年度
第3四半期(C)","対前年同期比
(A-C)"
平均残高,1兆396億円,1兆370億円,26億円,"5,164億円","5,232億円"
利回り,0.00008,0.00007,0.001,0.00008,0
運用収入,"2,042万円","1,936万円",106万円,"1,066万円",976万円
