財務指標,パリ市（２００８）
１　業務支出÷人口（ユーロ）,2032.15
２　直接税による収入÷人口（ユーロ）,751.32
３　業務収入÷人口（ユーロ）,2233.15
４　設備投資支出÷人口（ユーロ）,518.63
５　負債の未決済残高÷人口（ユーロ）,928.80
６　業務の補助金総額÷人口（ユーロ）,577.08
７　人件費÷業務支出（％）,40.22
８　財務力の換価係数（％）,57.44
８－２　拡大財務力の換価係数,-
９　業務支出及び借入金の年間償還額÷業務収入（％）,110.50
１０　設備投資支出÷業務収入（％）,23.22
１１　負債の未決済残高÷業務収入（％）,41.59
