基金,,合計金額,都市銀行,,信託銀行,,地方銀行等,,外国銀行,
３０年度第１四半期,,31142,17014,0.546,6188,0.199,3770,0.121,4171,0.134
第２四半期,,32525,19073,0.586,4903,0.151,3850,0.118,4699,0.144
第３四半期,,31955,16917,0.529,6166,0.193,3797,0.119,5076,0.159
第４四半期,,31259,15990,0.51153,6162,0.19713,3706,0.11856,5400,0.17275
元年度第１四半期,,30690,15212,0.496,6171,0.201,4234,0.138,5072,0.165
第２四半期,,30525,15366,0.503,6287,0.206,3859,0.126,5012,0.164
