準公,,合計金額,都市銀行,,信託銀行,,地方銀行等,,外国銀行,
３０年度第１四半期,,4963,2883,0.581,1095,0.221,563,0.113,422,0.085
第２四半期,,5150,2579,0.501,1455,0.283,585,0.114,533,0.103
第３四半期,,5164,2297,0.445,1636,0.317,617,0.119,614,0.119
第４四半期,,5245,2511,0.47874,1628,0.31039,514,0.098,593,0.11306
元年度第１四半期,,10342,7593,0.734,1600,0.155,430,0.042,719,0.07
第２四半期,,10370,7197,0.694,1585,0.153,430,0.041,1158,0.112
