科目,金額（億円）
資産の部,
１　流動資産,10371
現金預金,214
収入未済,1531
不納欠損引当金,-203
基金積立金,7711
短期貸付金,1103
貸倒引当金,0
その他流動資産,15
２　固定資産,280343
行政財産,57203
普通財産,10764
重要物品,751
インフラ資産,138576
建設仮勘定,8591
投資その他の資産,64458
うち貸倒引当金,-54
資産の部合計,290714
負債の部,
１　流動負債,6144
還付未済金,50
都債,6051
短期借入金,0
その他流動負債,43
２　固定負債,71164
都債,58640
長期借入金,0
退職給与引当金,12294
その他固定負債,229
負債の部合計,77307
正味財産の部,
正味財産,213406
正味財産の部合計,213406
負債及び正味財産の部合計,290714
