歳計現金等,,,,,
,,,,,
,"30年度
第2四半期(A)","30年度
第1四半期(B)","対前期比
(A-B)","（参考）29年度
第2四半期(C)","対前年同期比
(A-C)"
平均残高,"1兆5,521億円",1兆822億円,"4,699億円","1兆2,711億円","2,810億円"
利回り,0.008%,0.007%,0.001,0.009%,△ 0.001
運用収入,"3,324万円","1,989万円","1,335万円","2,908万円",416万円
