区分１,区分２,第一本庁舎（百万円）,第二本庁舎（百万円）,計（百万円）
費用,,5,3,8
費用,減価償却費,4,2,6
費用,その他,2,1,3
節減光熱水費,,-10,-6,-16
差引,,-5,-3,-8
