基金,,合計金額,国債,,地方債,,政府保証債,,財投機関債等,,金融債,,外債,
３０年度第１四半期,,8391,1837,0.219,2695,0.321,704,0.084,2226,0.265,828,0.099,100,0.012
第２四半期,,8947,1830,0.205,2779,0.311,649,0.073,2671,0.299,918,0.103,100,0.011
第３四半期,,9235,1778,0.193,2836,0.307,587,0.064,2936,0.318,998,0.108,100,0.011
第４四半期,,9424,1709,0.181,2958,0.314,515,0.055,3088,0.328,1054,0.112,100,0.011
元年度第１四半期,,9443,1614,0.171,3038,0.322,415,0.044,3278,0.347,999,0.106,100,0.011
