歳計現金等,,,,,
,"令和元年度
第1四半期(A)","平成30年度
第4四半期(B)","対前期比
(A-B)","（参考）平成30年度
第1四半期(C)","対前年同期比
(A-C)"
平均残高,"9,212億円","1兆6,871億円",-7659,1兆822億円,-1610
利回り,0.00004,0.00008,-0.004,0.00007,-0.003
運用収入,897,"3,287万円",-2390,1989,-1092
