産業分類階層,産業コード,産業小分類,事業所数,従業者数（送出者を除く）／総数（人）,従業者数（送出者を除く）／うち男（人）,常用労働者／総数（人）,常用労働者／うち男（人）,個人業主及び無給家族従業者（人）,現金給与総額（万円）,原材料使用額等（万円）,製造品出荷額等／総額（万円）,製造品出荷額等／製造品出荷額（万円）,製造品出荷額等／加工賃収入額（万円）,製造品出荷額等／修理料収入額（万円）,製造品出荷額等／くず・廃物出荷額（万円）,製造品出荷額等／その他の収入額（万円）,付加価値額（29人以下は粗付加価値額）（万円）,粗付加価値額（万円）,有形固定資産額（30人以上）／年初現在高（万円）,有形固定資産額（30人以上）／取得額（万円）,有形固定資産額（30人以上）／除却額（万円）,有形固定資産額（30人以上）／減価償却額(万円）
0,000,総数,9442,98575,66214,98357,66054,449,37347950,82172052,162307727,130031021,24488523,976934,35472,6775777,74359104,74359104,…,…,…,…
1,090,食料品製造業,556,6629,3374,6583,3342,57,1919846,6475009,11243488,9858007,625547,-,2971,756963,4416532,4416532,…,…,…,…
2,091,畜産食料品製造業,33,406,216,406,216,-,119578,577417,833883,760689,18239,-,-,54955,237469,237469,…,…,…,…
2,092,水産食料品製造業,67,814,377,797,365,17,258116,1176227,1699537,1564680,38786,-,-,96071,484623,484623,…,…,…,…
2,093,野菜缶詰・果実缶詰・農産保存食料品製造業,18,217,101,218,102,-,52309,114308,208331,186667,2273,-,-,19391,87056,87056,…,…,…,…
2,094,調味料製造業,22,330,173,333,174,1,107373,324780,688628,574401,22612,-,-,91615,337296,337296,…,…,…,…
2,095,糖類製造業,3,38,24,38,24,-,x,x,x,x,x,-,-,-,x,x,…,…,…,…
2,096,精穀・製粉業,19,254,184,260,190,-,93247,1522356,1865419,1657449,61353,-,70,146547,317652,317652,…,…,…,…
2,097,パン・菓子製造業,158,2040,924,2019,909,21,559580,892255,2077869,1853616,139168,-,-,85085,1098081,1098081,…,…,…,…
2,098,動植物油脂製造業,16,208,165,208,165,-,x,x,x,x,x,-,x,x,x,x,…,…,…,…
2,099,その他の食料品製造業,220,2322,1210,2304,1197,18,629349,1351266,2974949,2621822,169226,-,-,183901,1503920,1503920,…,…,…,…
1,100,飲料・たばこ・飼料製造業,38,481,321,479,319,2,158858,269965,664296,594859,36573,-,-,32864,338371,338371,…,…,…,…
2,101,清涼飲料製造業,7,67,51,66,50,1,21107,41208,91395,83255,7140,-,-,1000,46470,46470,…,…,…,…
2,102,酒類製造業,10,136,83,135,82,1,x,x,x,x,x,-,-,x,x,x,…,…,…,…
2,103,茶・コーヒー製造業（清涼飲料を除く）,9,90,47,90,47,-,x,x,x,x,x,-,-,x,x,x,…,…,…,…
2,104,製氷業,4,79,70,79,70,-,38829,40015,127738,126450,-,-,-,1288,81224,81224,…,…,…,…
2,106,飼料・有機質肥料製造業,8,109,70,109,70,-,35438,56016,129322,118120,10002,-,-,1200,68146,68146,…,…,…,…
1,110,繊維工業,400,3662,1441,3622,1410,48,1004924,2089354,4191866,2554641,1354947,2178,x,x,1947858,1947858,…,…,…,…
2,111,製糸業、紡績業、化学繊維・ねん糸等製造業,2,20,12,20,12,-,x,x,x,x,x,-,-,x,x,x,…,…,…,…
2,112,織物業,13,147,42,144,41,3,32574,76844,131049,111208,18476,-,-,1365,50190,50190,…,…,…,…
2,113,ニット生地製造業,5,33,21,33,21,-,11320,42858,66497,65622,-,-,-,875,21888,21888,…,…,…,…
2,114,染色整理業,30,306,181,301,177,5,x,x,x,x,x,-,x,x,x,x,…,…,…,…
2,115,綱・網・レース・繊維粗製品製造業,9,92,49,88,47,4,27156,31669,96248,64411,26848,857,-,4132,59796,59796,…,…,…,…
2,116,外衣・シャツ製造業（和式を除く）,159,1465,549,1454,538,19,417545,1207872,2160979,1400508,564073,138,-,196260,882787,882787,…,…,…,…
2,117,下着類製造業,3,20,4,20,4,-,3952,7093,12428,10308,2120,-,-,-,4940,4940,…,…,…,…
2,118,和装製品・その他の衣服・繊維製身の回り品製造業,65,552,201,546,196,6,x,x,x,x,x,x,-,x,x,x,…,…,…,…
2,119,その他の繊維製品製造業,114,1027,382,1016,374,11,279101,383110,943651,516787,362162,944,-,63758,519042,519042,…,…,…,…
1,120,木材・木製品製造業（家具を除く）,58,537,410,536,409,1,x,x,x,x,x,x,-,x,x,x,…,…,…,…
2,121,製材業、木製品製造業,22,188,147,187,146,1,64246,131101,265799,235282,21857,-,-,8660,124719,124719,…,…,…,…
2,122,造作材・合板・建築用組立材料製造業,12,113,94,113,94,-,x,x,x,x,x,-,-,x,x,x,…,…,…,…
2,123,木製容器製造業（竹、とうを含む）,9,100,65,100,65,-,28592,80539,162441,156253,1080,x,-,x,75835,75835,…,…,…,…
2,129,その他の木製品製造業(竹、とうを含む),15,136,104,136,104,-,51559,58914,152087,145370,4700,-,-,2017,86272,86272,…,…,…,…
1,130,家具・装備品製造業,220,1752,1262,1731,1247,21,648894,1202651,2574562,2259248,161246,x,x,141128,1270563,1270563,…,…,…,…
2,131,家具製造業,124,957,724,940,712,17,346953,540581,1226223,1033587,93935,x,x,90198,635125,635125,…,…,…,…
2,132,宗教用具製造業,9,53,35,52,34,1,18083,27906,58176,49226,5164,-,-,3786,28027,28027,…,…,…,…
2,133,建具製造業,31,197,139,197,139,-,62899,162981,305046,275670,26697,330,-,2349,131544,131544,…,…,…,…
2,139,その他の家具・装備品製造業,56,545,364,542,362,3,220959,471183,985117,900765,35450,4107,-,44795,475867,475867,…,…,…,…
1,140,パルプ・紙・紙加工品製造業,394,4077,2539,4060,2532,28,1344356,2902854,5649650,4405723,905446,-,917,337564,2544074,2544074,…,…,…,…
2,141,パルプ製造業,2,31,14,31,14,-,x,x,x,x,x,-,-,x,x,x,…,…,…,…
2,142,紙製造業,3,46,31,46,31,-,x,x,x,x,x,-,-,-,x,x,…,…,…,…
2,143,加工紙製造業,7,80,50,80,50,-,34789,122185,183267,101372,26650,-,106,55139,56559,56559,…,…,…,…
2,144,紙製品製造業,100,1040,609,1036,605,4,348373,632919,1319285,989809,263056,-,604,65816,635702,635702,…,…,…,…
2,145,紙製容器製造業,223,2341,1490,2326,1481,17,748323,1757782,3285139,2752672,379427,-,75,152965,1414773,1414773,…,…,…,…
2,149,その他のパルプ・紙・紙加工品製造業,59,539,345,541,351,7,180709,355351,750858,493010,x,-,132,x,366222,366222,…,…,…,…
1,150,印刷・同関連業,1614,16547,11639,16546,11631,34,6432835,10775750,23711896,17041358,6282718,x,x,381549,11981015,11981015,…,…,…,…
2,151,印刷業,1090,11334,7900,11345,7901,14,4486121,9068767,18475421,15527738,2628173,486,2296,316728,8712142,8712142,…,…,…,…
2,152,製版業,126,1499,1097,1501,1099,-,622585,617969,1814607,1484312,287324,-,14,42957,1108480,1108480,…,…,…,…
2,153,製本業、印刷物加工業,379,3513,2473,3500,2463,19,1233193,1036757,3193452,23147,3151594,60,3226,15425,1997282,1997282,…,…,…,…
2,159,印刷関連サービス業,19,201,169,200,168,1,90936,52257,228416,6161,215627,x,x,6439,163111,163111,…,…,…,…
1,160,化学工業,141,1939,1227,1952,1240,2,806344,3656181,5976186,5378548,105314,21363,-,470961,2151502,2151502,…,…,…,…
2,161,化学肥料製造業,1,4,3,4,3,-,x,x,x,x,-,-,-,-,x,x,…,…,…,…
2,162,無機化学工業製品製造業,22,291,222,294,225,-,x,x,x,x,x,x,-,x,x,x,…,…,…,…
2,163,有機化学工業製品製造業,8,112,90,111,89,1,57140,222924,333256,307304,2130,-,-,23822,102160,102160,…,…,…,…
2,164,油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業,32,484,335,484,335,-,201907,729210,1266552,1082872,15712,-,-,167968,497805,497805,…,…,…,…
2,165,医薬品製造業,15,224,133,224,133,-,88017,165886,551609,457851,11648,-,-,82110,357255,357255,…,…,…,…
2,166,化粧品・歯磨・その他の化粧用調整品製造業,34,444,200,454,210,1,154531,352990,698296,637036,43242,-,-,18018,319795,319795,…,…,…,…
2,169,その他の化学工業,29,380,244,381,245,-,174172,528462,1027206,886894,17506,-,-,122806,464419,464419,…,…,…,…
1,170,石油製品・石炭製品製造業,15,239,200,239,200,-,x,x,x,x,x,-,x,x,x,x,…,…,…,…
2,172,潤滑油・グリース製造業（石油精製業によらないもの）,2,25,21,25,21,-,x,x,x,x,x,-,-,x,x,x,…,…,…,…
2,174,舗装材料製造業,13,214,179,214,179,-,132750,1377866,2256485,1903473,-,-,x,x,814076,814076,…,…,…,…
1,180,プラスチック製品製造業（別掲を除く）,580,6037,3573,6015,3556,25,2163921,3753242,8026335,6341453,1441664,841,x,x,3958467,3958467,…,…,…,…
2,181,プラスチック板・棒・管・継手・異形押出製品製造業,77,781,515,779,513,2,299891,442865,968055,813693,132279,378,39,21666,486371,486371,…,…,…,…
2,182,プラスチックフィルム・シート・床材・合成皮革製造業,79,701,403,696,399,5,x,x,x,x,x,-,x,x,x,x,…,…,…,…
2,183,工業用プラスチック製品製造業,220,2545,1515,2541,1513,7,895433,1561444,3373441,2777123,457616,463,51,138188,1679559,1679559,…,…,…,…
2,184,発泡・強化プラスチック製品製造業,35,321,198,319,196,2,108817,184464,407359,351986,33380,-,-,21993,206382,206382,…,…,…,…
2,185,プラスチック成形材料製造業（廃プラスチックを含む）,15,103,68,103,68,-,x,x,x,x,x,-,-,x,x,x,…,…,…,…
2,189,その他のプラスチック製品製造業,154,1586,874,1577,867,9,565569,1091012,2264753,1749525,472371,-,46,42811,1086832,1086832,…,…,…,…
1,190,ゴム製品製造業,194,1952,1232,1935,1219,17,640444,1052878,2227598,2003681,175976,73,277,47591,1088534,1088534,…,…,…,…
2,191,タイヤ・チューブ製造業,2,15,14,15,14,-,x,x,x,x,-,-,-,-,x,x,…,…,…,…
2,192,ゴム製・プラスチック製履物・同附属品製造業,10,115,75,115,75,-,x,x,x,x,x,-,-,x,x,x,…,…,…,…
2,193,ゴムベルト・ゴムホース・工業用ゴム製品製造業,155,1589,988,1572,975,17,517266,841503,1800123,1623306,135524,73,277,40943,887969,887969,…,…,…,…
2,199,その他のゴム製品製造業,27,233,155,233,155,-,x,x,x,x,x,-,-,x,x,x,…,…,…,…
1,200,なめし革・同製品・毛皮製造業,238,2251,1368,2225,1351,36,741722,2786392,4346351,4008190,232736,2467,1886,101072,1448788,1448788,…,…,…,…
2,201,なめし革製造業,26,269,201,263,197,6,96701,209026,405101,296405,95904,-,1886,10906,181715,181715,…,…,…,…
2,202,工業用革製品製造業（手袋を除く）,2,44,23,44,23,-,x,x,x,x,-,-,-,-,x,x,…,…,…,…
2,203,革製履物用材料・同附属品製造業,27,265,157,265,157,-,77226,254159,368077,345864,21360,-,-,853,106740,106740,…,…,…,…
2,204,革製履物製造業,65,681,465,680,464,4,230152,957077,1454149,1365669,42615,669,-,45196,460261,460261,…,…,…,…
2,206,かばん製造業,33,258,140,255,137,3,x,x,x,x,x,x,-,x,x,x,…,…,…,…
2,207,袋物製造業,74,656,339,640,330,23,208287,978650,1484674,1384956,56433,-,-,43285,471399,471399,…,…,…,…
2,209,その他のなめし革製品製造業,11,78,43,78,43,-,26122,64364,115225,107534,7691,-,-,-,47093,47093,…,…,…,…
1,210,窯業・土石製品製造業,175,2260,1792,2270,1799,9,1080863,6632198,10429884,9894248,x,x,22,275256,3520053,3520053,…,…,…,…
2,211,ガラス・同製品製造業,54,578,374,571,368,8,215030,450420,842563,641060,185097,242,22,16142,364238,364238,…,…,…,…
2,212,セメント・同製品製造業,80,1183,1022,1197,1036,-,633699,5689773,8398416,8283538,-,-,-,114878,2508466,2508466,…,…,…,…
2,214,陶磁器・同関連製品製造業,3,51,41,51,41,-,x,x,x,x,x,-,-,-,x,x,…,…,…,…
2,215,耐火物製造業,1,9,9,9,9,-,x,x,x,x,-,-,-,-,x,x,…,…,…,…
2,216,炭素・黒鉛製品製造業,3,20,11,20,11,-,6269,13960,30891,30891,-,-,-,-,15677,15677,…,…,…,…
2,217,研磨材・同製品製造業,10,130,95,130,95,-,x,x,x,x,x,x,-,x,x,x,…,…,…,…
2,218,骨材・石工品等製造業,20,245,208,249,208,-,119377,161278,530624,442911,37842,-,-,49871,342001,342001,…,…,…,…
2,219,その他の窯業・土石製品製造業,4,44,32,43,31,1,x,x,x,x,x,-,-,x,x,x,…,…,…,…
