地域階層,地域コード,区市町村,総数,09食料品,10飲料・飼料等,11繊維工業,12木材・木製品,13家具・装備品,14紙・紙加工品,15印刷・同関連業,16化学工業,17石油・石炭,18プラスチック,19ゴム製品,20皮革・同製品,21窯業・土石,22鉄鋼業,23非鉄金属,24金属製品,25はん用機械,26生産用機械,27業務用機械,28電子・デバイス,29電気機械,30情報通信機械,31輸送用機械,32その他
0,13000,東京都,10789,729,45,416,59,235,428,1890,200,17,619,205,259,198,109,128,1491,362,1000,539,270,597,127,283,583
1,13100,区部,8256,497,18,364,45,187,381,1718,153,9,478,199,258,132,90,90,1209,271,692,340,92,339,51,169,474
2,13101,千代田区,87,-,-,4,-,-,5,67,-,-,1,-,-,-,-,-,1,-,1,1,3,1,-,-,3
2,13102,中央区,122,17,-,6,-,-,5,80,1,-,1,1,-,-,-,-,1,-,2,1,1,1,-,-,5
2,13103,港区,88,10,2,2,-,3,1,47,-,-,1,-,-,3,-,-,4,3,5,-,-,3,1,-,3
2,13104,新宿区,259,13,2,12,-,4,15,181,2,-,3,-,-,-,-,-,5,-,1,5,3,3,3,-,7
2,13105,文京区,236,8,-,9,4,1,5,157,3,-,3,-,1,4,-,-,3,-,1,17,-,2,1,1,16
2,13106,台東区,393,29,-,32,3,10,30,73,4,-,9,5,73,5,-,2,35,-,4,5,-,7,1,3,63
2,13107,墨田区,731,31,4,62,3,15,43,133,18,1,39,52,53,10,7,5,133,10,36,5,2,10,1,8,50
2,13108,江東区,489,44,1,15,18,13,34,167,7,3,19,6,2,22,14,5,55,9,17,5,1,10,2,8,12
2,13109,品川区,352,16,1,3,-,2,6,56,7,-,36,4,1,7,1,5,47,19,63,17,13,26,2,11,9
2,13110,目黒区,129,17,-,2,1,4,3,10,4,-,7,-,-,1,-,2,19,10,10,8,6,11,2,4,8
2,13111,大田区,1254,49,3,15,2,9,17,58,17,1,98,10,1,18,27,31,251,107,232,76,32,102,12,58,28
2,13112,世田谷区,143,25,-,7,-,4,2,20,6,-,3,1,-,6,-,2,13,2,11,13,5,15,2,1,5
2,13113,渋谷区,45,3,-,2,-,1,1,15,1,-,2,-,-,-,-,-,1,-,-,5,1,5,1,-,7
2,13114,中野区,59,7,2,7,-,1,2,13,2,-,-,-,-,1,-,-,7,-,5,3,1,2,-,1,5
2,13115,杉並区,85,8,-,7,1,5,2,19,1,-,3,-,-,2,2,-,3,3,4,5,1,9,1,3,6
2,13116,豊島区,130,7,-,11,1,3,8,50,4,-,3,2,2,1,-,-,7,4,2,10,1,4,2,-,8
2,13117,北区,250,15,1,11,-,1,13,75,8,-,9,4,8,1,1,2,24,6,11,15,2,15,1,8,19
2,13118,荒川区,455,17,1,12,1,13,32,109,6,-,24,12,16,5,3,3,74,12,23,23,4,16,-,4,45
2,13119,板橋区,612,36,-,18,-,11,31,197,26,2,32,4,3,8,7,10,47,11,40,53,7,18,5,13,33
2,13120,練馬区,178,32,-,14,-,9,12,20,2,-,15,-,2,5,-,3,11,4,9,12,1,10,3,4,10
2,13121,足立区,795,55,-,41,5,41,55,62,18,2,55,24,59,10,7,5,155,24,64,20,2,23,6,16,46
2,13122,葛飾区,692,26,1,24,3,14,33,54,6,-,63,59,26,8,4,9,163,12,66,21,4,24,5,11,56
2,13123,江戸川区,672,32,-,48,3,23,26,55,10,-,52,15,11,15,17,6,150,35,85,20,2,22,-,15,30
1,13200,市部,2220,191,21,49,7,44,40,165,39,5,122,6,1,49,13,34,237,79,273,178,169,244,73,93,88
2,13201,八王子市,521,36,5,21,2,12,8,31,12,2,30,-,-,12,2,8,52,22,69,47,49,55,14,19,13
2,13202,立川市,81,12,-,-,-,2,3,8,1,-,5,-,-,2,-,1,7,4,5,6,6,9,1,5,4
2,13203,武蔵野市,22,2,-,-,-,-,-,5,-,-,1,-,1,1,-,-,-,1,2,1,3,3,-,-,2
2,13204,三鷹市,77,4,-,1,-,-,1,13,1,-,4,1,-,-,-,-,11,2,9,11,5,9,2,2,1
2,13205,青梅市,237,15,2,7,-,2,4,9,2,1,25,1,-,5,5,3,29,7,47,18,12,22,7,8,6
2,13206,府中市,118,8,2,2,-,1,1,10,-,1,5,1,-,5,-,6,11,6,6,5,8,25,11,-,4
2,13207,昭島市,118,12,-,-,1,3,3,2,1,-,1,-,-,2,-,3,17,5,21,8,6,14,1,11,7
2,13208,調布市,85,7,1,3,-,3,2,12,-,-,3,-,-,2,1,-,4,4,4,7,9,14,2,3,4
2,13209,町田市,129,13,1,3,1,-,2,8,2,1,10,1,-,-,2,2,13,5,9,10,11,12,7,4,12
2,13210,小金井市,14,2,-,1,-,-,1,1,1,-,1,-,-,1,1,-,-,-,1,2,-,-,-,1,1
2,13211,小平市,73,8,-,3,-,3,3,7,1,-,4,2,-,2,-,1,6,4,10,1,7,8,2,-,1
2,13212,日野市,62,1,1,1,-,-,2,8,-,-,2,-,-,2,-,1,5,2,4,5,9,9,4,3,3
2,13213,東村山市,82,13,1,2,-,1,2,9,7,-,7,-,-,1,-,2,7,2,4,4,6,10,1,1,2
2,13214,国分寺市,24,-,-,2,-,-,-,5,1,-,-,-,-,-,-,-,2,-,1,5,2,2,1,-,3
2,13215,国立市,21,5,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,4,-,2,2,3,2
2,13218,福生市,38,4,2,1,-,-,-,4,-,-,1,-,-,1,-,1,4,1,3,3,-,5,1,6,1
2,13219,狛江市,23,2,1,1,-,-,-,4,1,-,-,-,-,-,-,-,3,1,3,1,-,2,3,-,1
2,13220,東大和市,38,5,1,-,-,2,1,4,-,-,2,-,-,-,-,1,4,-,3,6,3,5,1,-,-
2,13221,清瀬市,19,2,1,-,-,1,1,1,4,-,2,-,-,-,-,-,1,-,2,1,-,1,-,2,-
2,13222,東久留米市,46,9,1,-,-,3,-,3,-,-,-,-,-,2,-,-,7,2,3,4,2,3,2,1,4
2,13223,武蔵村山市,130,14,-,1,-,5,2,7,1,-,7,-,-,2,-,-,23,3,29,8,6,13,-,6,3
2,13224,多摩市,21,4,-,-,-,-,-,3,-,-,1,-,-,-,-,-,1,-,2,2,2,1,2,-,3
2,13225,稲城市,60,3,1,-,-,1,-,-,1,-,2,-,-,3,-,-,7,1,9,9,11,6,4,-,2
2,13227,羽村市,70,1,-,-,-,3,1,5,2,-,1,-,-,1,2,2,12,4,9,3,5,5,1,10,3
2,13228,あきる野市,77,4,1,-,3,2,2,1,-,-,6,-,-,5,-,2,8,1,13,4,5,7,1,8,4
2,13229,西東京市,34,5,-,-,-,-,1,4,1,-,1,-,-,-,-,1,3,2,4,3,2,2,3,-,2
1,13300,郡部,273,18,1,2,7,4,7,7,3,3,19,-,-,11,6,4,45,12,35,21,9,14,3,21,21
2,13303,瑞穂町,206,14,1,-,3,3,6,6,3,2,15,-,-,3,5,4,43,9,28,17,7,10,3,18,6
2,13305,日の出町,53,1,-,2,2,1,1,1,-,1,3,-,-,7,1,-,-,2,6,3,1,4,-,2,15
2,13307,檜原村,5,1,-,-,2,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-
2,13308,奥多摩町,9,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,1,1,-,-,1,-
1,13350,島部,40,23,5,1,-,-,-,-,5,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-
2,13361,大島町,8,3,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13362,利島村,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13363,新島村,9,7,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
2,13364,神津島村,3,1,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
2,13381,三宅村,3,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
2,13382,御蔵島村,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13401,八丈町,13,8,2,1,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-
2,13402,青ヶ島村,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,13421,小笠原村,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017東京の工業　平成29年工業統計調査報告（平成28年実績）,,,,,,,,,,,,,,,,,,,,,,,,,,,
付表15　区市町村、産業中分類別事業所数（従業者4人以上）,,,,,,,,,,,,,,,,,,,,,,,,,,,
地域階層（0：東京都　1：区部、市部、郡部、島部　2：区市町村）,,,,,,,,,,,,,,,,,,,,,,,,,,,
