産業分類階層,産業コード,産業中分類,経営組織階層,経営組織コード,経営組織,資本金階層,資本金規模コード,資本金額,事業所数,従業者数（送出者を除く）（人）,現金給与総額（万円）,原材料使用額等（万円）,製造品出荷額等／総額（万円）,製造品出荷額等／製造品出荷額（万円）,製造品出荷額等／加工賃収入額（万円）,製造品出荷額等／修理料収入額（万円）,製造品出荷額等／くず・廃物出荷額（万円）,製造品出荷額等／その他の収入額（万円）,付加価値額（29人以下は粗付加価値額）（万円）,粗付加価値額（万円）,生産額（30人以上）（万円）,在庫額（30人以上）／製造品／年初（万円）,在庫額（30人以上）／製造品／年末（万円）,在庫額（30人以上）／半製品及び仕掛品／年初（万円）,在庫額（30人以上）／半製品及び仕掛品／年末（万円）,在庫額（30人以上）／原材料及び燃料／年初（万円）,在庫額（30人以上）／原材料及び燃料／年末（万円）,有形固定資産額（30人以上）／年初現在高（万円）,有形固定資産額（30人以上）／取得額（万円）,有形固定資産額（30人以上）／除却額（万円）,有形固定資産額（30人以上）／減価償却額（万円）
0,00,総数,0,0,総数,0,00,総数,10789,252315,118607886,412015690,778488531,683787377,42948339,2857575,79847,48815393,330509343,342451889,575097890,17608927,17633367,44018267,46875545,21151094,21032484,144863344,26251922,3842056,14824264
0,00,総数,1,1,会社,0,00,総数,10413,247636,116565935,409760695,770790664,677286273,42226137,2856529,79797,48341928,325908119,337383047,569040222,17063147,17116508,43507134,46328969,20954988,20862140,133355824,25796966,3785973,14350124
0,00,総数,1,1,会社,1,01,1万円～199万円,60,472,147000,161233,425556,280927,132586,x,51,x,238027,238027,-,-,-,-,-,-,-,-,-,-,-
0,00,総数,1,1,会社,1,02,200万円～299万円,20,149,43386,66581,150810,116274,31029,-,-,3507,77718,77718,-,-,-,-,-,-,-,-,-,-,-
0,00,総数,1,1,会社,1,03,300万円～499万円,2225,17724,5705491,7719967,18343243,12984184,5022199,23812,3684,309364,9813332,9843791,880533,13834,7862,1642,1690,9904,8964,439864,23245,560,24535
0,00,総数,1,1,会社,1,04,500万円～999万円,852,7492,2601057,3993975,8779503,6178784,2324275,26136,4358,245950,4414797,4437894,764591,5130,4153,17750,15727,11318,10922,397666,79469,811,20097
0,00,総数,1,1,会社,1,05,1000万円～4999万円,6310,108559,43967370,96797383,191532630,157645093,22601805,1210759,32210,10042763,86003391,88175931,75845001,2340824,2323932,2203348,2142648,2999256,3041346,26984219,3159281,533101,2094948
0,00,総数,1,1,会社,1,06,5000万円～9999万円,564,28500,12286916,39705123,70078927,58840430,4888809,380062,8081,5961545,27895111,28454988,51567496,1659078,2336755,2505232,2689051,2605810,2624038,18966148,2578810,772326,1421373
0,00,総数,1,1,会社,1,07,1億円～10億円未満,260,28493,14673392,44504226,79511366,69556457,5658300,450345,28276,3817988,30512740,33181020,68591042,1836105,1669212,4202334,3846494,3278438,3100556,21561867,5357729,685432,2145547
0,00,総数,1,1,会社,1,08,10億円～100億円未満,78,16446,10079148,43520284,78847569,61902282,632974,760613,-,15551700,32154558,34066150,60070938,2480325,2012829,4442628,4929820,3095631,3248912,27859899,5273360,1211526,1931288
