品目階層,品目コード,品目,製造品出荷額等区分階層,製造品出荷額等区分コード,製造品出荷額等区分,産出事業所数,製造品出荷額等（その他収入を除く）（万円）
0,000000,総数,0,0,総数,18455,726815563
0,000000,総数,1,1,製造品出荷額,13501,683787377
0,000000,総数,1,2,加工賃収入額,4793,42948339
0,000000,総数,1,3,くず・廃物等出荷額,161,79847
1,090000,食料品製造業,0,0,総数,1163,65826485
1,090000,食料品製造業,1,1,製造品出荷額,1052,64669511
1,090000,食料品製造業,1,2,加工賃収入額,107,1150833
1,090000,食料品製造業,1,3,くず・廃物等出荷額,4,6141
2,091111,部分肉、冷凍肉（ブロイラーを除く）,1,1,製造品出荷額,16,1142827
2,091191,部分肉・冷凍肉（ブロイラーを除く）（賃加工）,1,2,加工賃収入額,2,x
2,091211,肉缶詰・瓶詰・つぼ詰,1,1,製造品出荷額,-,-
2,091212,肉製品,1,1,製造品出荷額,15,565193
2,091291,肉加工品（賃加工）,1,2,加工賃収入額,2,x
2,091311,処理牛乳,1,1,製造品出荷額,5,1257018
2,091312,乳飲料、乳酸菌飲料,1,1,製造品出荷額,4,3406679
2,091313,練乳、粉乳、脱脂粉乳,1,1,製造品出荷額,1,x
2,091391,処理牛乳・乳飲料（賃加工）,1,2,加工賃収入額,-,-
2,091411,バター,1,1,製造品出荷額,1,x
2,091412,チーズ,1,1,製造品出荷額,3,197495
2,091413,クリーム,1,1,製造品出荷額,1,x
2,091414,アイスクリーム,1,1,製造品出荷額,6,18275
2,091419,その他の乳製品,1,1,製造品出荷額,5,3708834
2,091491,乳製品（処理牛乳・乳飲料を除く）（賃加工）,1,2,加工賃収入額,1,x
2,091911,ブロイラー加工品（解体品を含む）,1,1,製造品出荷額,5,81700
2,091919,他に分類されない畜産食料品,1,1,製造品出荷額,10,293544
2,091991,その他の畜産食料品（賃加工）,1,2,加工賃収入額,-,-
2,092111,まぐろ缶詰,1,1,製造品出荷額,-,-
2,092112,さば缶詰,1,1,製造品出荷額,-,-
2,092119,その他の水産缶詰・瓶詰,1,1,製造品出荷額,3,14654
2,092191,水産缶詰・瓶詰（賃加工）,1,2,加工賃収入額,-,-
