地域階層,地域コード,区市町村,事業所数／平成28年／実数,事業所数／平成28年／構成比（％）,事業所数／平成28年／増減数,事業所数／平成28年／増減率（％）,事業所数／平成26年／実数,事業所数／平成26年／構成比（％）,従業者数／平成28年／実数（人）,従業者数／平成28年／構成比（％）,従業者数／平成28年／増減数（人）,従業者数／平成28年／増減率（％）,従業者数／平成26年／実数（人）,従業者数／平成26年／構成比（％）,製造品出荷額等／平成28年／実数（万円）,製造品出荷額等／平成28年／構成比（％）,製造品出荷額等／平成28年／増減数（万円）,製造品出荷額等／平成28年／増減率（％）,製造品出荷額等／平成26年／実数（万円）,製造品出荷額等／平成26年／構成比（％）,付加価値額／平成28年／実数（万円）,付加価値額／平成28年／構成比（％）,付加価値額／平成28年／増減数（万円）,付加価値額／平成28年／増減率（％）,付加価値額／平成26年／実数（万円）,付加価値額／平成26年／構成比（％）
0,13000,東京都,10789,100,-1367,-11.2,12156,100,252315,100,-17500,-6.5,269815,100,778488531,100,-37446535,-4.6,815935066,100,330509343,100,11191973,3.5,319317370,100
1,13100,区部,8256,76.5,-1159,-12.3,9415,77.5,139203,55.2,-11705,-7.8,150908,55.9,285357756,36.7,-35605632,-11.1,320963388,39.3,120817428,36.6,-18036963,-13,138854391,43.5
2,13101,千代田区,87,0.8,-20,-18.7,107,0.9,1814,0.7,-252,-12.2,2066,0.8,3843881,0.5,-718741,-15.8,4562622,0.6,1601329,0.5,-646083,-28.7,2247412,0.7
2,13102,中央区,122,1.1,-44,-26.5,166,1.4,1988,0.8,-520,-20.7,2508,0.9,3554923,0.5,-1739929,-32.9,5294852,0.6,1690284,0.5,-563994,-25,2254278,0.7
2,13103,港区,88,0.8,-40,-31.3,128,1.1,1228,0.5,-624,-33.7,1852,0.7,2712162,0.3,-1841580,-40.4,4553742,0.6,1211653,0.4,-730349,-37.6,1942002,0.6
2,13104,新宿区,259,2.4,-33,-11.3,292,2.4,5742,2.3,-2444,-29.9,8186,3,10222786,1.3,-10776565,-51.3,20999351,2.6,4261477,1.3,-3057873,-41.8,7319350,2.3
2,13105,文京区,236,2.2,-60,-20.3,296,2.4,5401,2.1,-470,-8,5871,2.2,10174465,1.3,-922784,-8.3,11097249,1.4,4506632,1.4,-432318,-8.8,4938950,1.5
2,13106,台東区,393,3.6,-56,-12.5,449,3.7,4017,1.6,-383,-8.7,4400,1.6,6910478,0.9,-383655,-5.3,7294133,0.9,2838406,0.9,-116023,-3.9,2954429,0.9
2,13107,墨田区,731,6.8,-97,-11.7,828,6.8,11946,4.7,-338,-2.8,12284,4.6,24716338,3.2,-2639817,-9.6,27356155,3.4,12454978,3.8,-2942351,-19.1,15397329,4.8
2,13108,江東区,489,4.5,-78,-13.8,567,4.7,9317,3.7,-1148,-11,10465,3.9,25792355,3.3,-2635528,-9.3,28427883,3.5,11546445,3.5,-483507,-4,12029952,3.8
