地域階層,地域コード,地域,産業分類階層,産業コード,産業中分類,事業所数,従業者数（送出者を除く）／総数（人）,従業者数（送出者を除く）／うち男（人）,常用労働者／総数（人）,常用労働者／うち男（人）,個人業主及び無給家族従業者（人）,現金給与総額（万円）,原材料使用額等（万円）,製造品出荷額等／総額（万円）,製造品出荷額等／製造品出荷額（万円）,製造品出荷額等／加工賃収入額（万円）,製造品出荷額等／修理料収入額（万円）,製造品出荷額等／くず・廃物出荷額（万円）,製造品出荷額等／その他の収入額（万円）,付加価値額（29人以下は粗付加価値額）（万円）,粗付加価値額（万円）,有形固定資産額（30人以上）／年初現在高（万円）,有形固定資産額（30人以上）／取得額（万円）,有形固定資産額（30人以上）／除却額（万円）,有形固定資産額（30人以上）／減価償却額（万円）
0,13000,東京都,0,00,総数,9442,98575,66214,98357,66054,449,37347950,82172052,162307727,130031021,24488523,976934,35472,6775777,74359104,74359104,…,…,…,…
0,13000,東京都,1,09,食料品製造業,556,6629,3374,6583,3342,57,1919846,6475009,11243488,9858007,625547,-,2971,756963,4416532,4416532,…,…,…,…
0,13000,東京都,1,10,飲料・たばこ・飼料製造業,38,481,321,479,319,2,158858,269965,664296,594859,36573,-,-,32864,338371,338371,…,…,…,…
0,13000,東京都,1,11,繊維工業,400,3662,1441,3622,1410,48,1004924,2089354,4191866,2554641,1354947,2178,x,x,1947858,1947858,…,…,…,…
0,13000,東京都,1,12,木材・木製品製造業（家具を除く）,58,537,410,536,409,1,x,x,x,x,x,x,-,x,x,x,…,…,…,…
0,13000,東京都,1,13,家具・装備品製造業,220,1752,1262,1731,1247,21,648894,1202651,2574562,2259248,161246,x,x,141128,1270563,1270563,…,…,…,…
0,13000,東京都,1,14,パルプ・紙・紙加工品製造業,394,4077,2539,4060,2532,28,1344356,2902854,5649650,4405723,905446,-,917,337564,2544074,2544074,…,…,…,…
0,13000,東京都,1,15,印刷・同関連業,1614,16547,11639,16546,11631,34,6432835,10775750,23711896,17041358,6282718,x,x,381549,11981015,11981015,…,…,…,…
0,13000,東京都,1,16,化学工業,141,1939,1227,1952,1240,2,806344,3656181,5976186,5378548,105314,21363,-,470961,2151502,2151502,…,…,…,…
0,13000,東京都,1,17,石油製品・石炭製品製造業,15,239,200,239,200,-,x,x,x,x,x,-,x,x,x,x,…,…,…,…
0,13000,東京都,1,18,プラスチック製品製造業（別掲を除く）,580,6037,3573,6015,3556,25,2163921,3753242,8026335,6341453,1441664,841,x,x,3958467,3958467,…,…,…,…
0,13000,東京都,1,19,ゴム製品製造業,194,1952,1232,1935,1219,17,640444,1052878,2227598,2003681,175976,73,277,47591,1088534,1088534,…,…,…,…
0,13000,東京都,1,20,なめし革・同製品・毛皮製造業,238,2251,1368,2225,1351,36,741722,2786392,4346351,4008190,232736,2467,1886,101072,1448788,1448788,…,…,…,…
0,13000,東京都,1,21,窯業・土石製品製造業,175,2260,1792,2270,1799,9,1080863,6632198,10429884,9894248,x,x,22,275256,3520053,3520053,…,…,…,…
0,13000,東京都,1,22,鉄鋼業,93,951,761,950,760,2,463765,3226678,4579822,3848432,286591,-,10371,434428,1256092,1256092,…,…,…,…
0,13000,東京都,1,23,非鉄金属製造業,111,1214,866,1207,859,7,469618,2639285,3613368,2897706,426491,-,740,288431,904424,904424,…,…,…,…
0,13000,東京都,1,24,金属製品製造業,1406,13213,9545,13169,9508,59,5017871,7696773,17454845,11651232,5329011,44253,3894,426455,9041783,9041783,…,…,…,…
0,13000,東京都,1,25,はん用機械器具製造業,314,3304,2498,3301,2494,7,1408840,2393685,5237917,3955083,654955,370769,1269,255841,2637196,2637196,…,…,…,…
