"科目","合計[百万円]","固定資産等形成分[百万円]","余剰分（不足分）[百万円]"
"年度","2019",,
"期間（自）","20190401",,
"期間（至）","20200331",,
"前年度末純資産残高","3504265","3510098","-5833"
"本年度純資産変動額 本年度差額 純行政コスト","-146305",,"-146305"
"本年度純資産変動額 本年度差額 財源","170345",,"170345"
"本年度純資産変動額 本年度差額 財源 税収等","127539",,"127539"
"本年度純資産変動額 本年度差額 財源 国都等補助金","42806",,"42806"
"本年度純資産変動額 本年度差額","24040",,"24040"
"本年度純資産変動額 固定資産等の変動（内部変動）",,"22904","-22904"
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の増加",,"19296","-19296"
"本年度純資産変動額 固定資産等の変動（内部変動） 有形固定資産等の減少",,"-15648","15648"
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の増加",,"28095","-28095"
"本年度純資産変動額 固定資産等の変動（内部変動） 貸付金・基金等の減少",,"-8839","8839"
"本年度純資産変動額 資産評価差額","-","-",
"本年度純資産変動額 無償所管換等","16280","16280",
"本年度純資産変動額 その他","-","-","-"
"本年度純資産変動額","40320","39185","1136"
"本年度末純資産残高","3544585","3549283","-4698"

"全体会計財務書類（純資産変動計算書）(平成31年4月1日から令和2年3月31日)","Ver202003",,
