"年齢[歳]","芝 男[人]","芝 女[人]","芝 計[人]","麻布 男[人]","麻布 女[人]","麻布 計[人]","赤坂 男[人]","赤坂 女[人]","赤坂 計[人]","高輪 男[人]","高輪 女[人]","高輪 計[人]","芝浦港南 男[人]","芝浦港南 女[人]","芝浦港南 計[人]"
"0～ 4","1007","1020","2027","1541","1496","3037","950","861","1811","1585","1525","3110","1921","1808","3729"
"5～ 9","721","754","1475","1617","1501","3118","837","853","1690","1440","1419","2859","1728","1632","3360"
"10～14","541","505","1046","1242","1127","2369","640","635","1275","1238","1228","2466","1354","1210","2564"
"15～19","485","431","916","883","830","1713","543","522","1065","900","936","1836","948","945","1893"
"20～24","840","1029","1869","1215","1244","2459","714","676","1390","1207","1226","2433","992","972","1964"
"25～29","1844","1872","3716","2233","2095","4328","1085","1084","2169","1625","1912","3537","1528","1583","3111"
"30～34","1935","2139","4074","2373","2610","4983","1339","1420","2759","1885","2354","4239","1979","2391","4370"
"35～39","1986","2123","4109","2717","3136","5853","1460","1620","3080","2220","2879","5099","2554","2867","5421"
"40～44","1840","1916","3756","2864","3270","6134","1625","1746","3371","2513","3152","5665","2812","2890","5702"
"45～49","1799","1841","3640","2757","3283","6040","1658","1826","3484","2532","3240","5772","3059","3163","6222"
"50～54","1524","1541","3065","2387","2607","4994","1550","1567","3117","2282","2944","5226","2703","2493","5196"
"55～59","1277","1326","2603","1884","1962","3846","1313","1384","2697","1896","2210","4106","2052","1789","3841"
"60～64","960","916","1876","1308","1345","2653","980","1075","2055","1432","1677","3109","1225","1133","2358"
"65～69","739","808","1547","1003","1138","2141","747","913","1660","1209","1468","2677","863","966","1829"
"70～74","885","1069","1954","1135","1427","2562","859","1110","1969","1431","1801","3232","939","1072","2011"
"75～79","617","819","1436","738","1044","1782","607","847","1454","940","1331","2271","566","838","1404"
"80～84","428","676","1104","529","803","1332","388","719","1107","670","1122","1792","415","687","1102"
"85～89","263","547","810","327","621","948","295","589","884","428","864","1292","238","491","729"
"90～94","97","226","323","132","394","526","119","321","440","176","486","662","93","221","314"
"95～99","23","99","122","34","171","205","24","127","151","36","188","224","16","54","70"
"100～","1","16","17","5","28","33","4","20","24","6","29","35","2","9","11"
"合計","19812","21673","41485","28924","32132","61056","17737","19915","37652","27651","33991","61642","27987","29214","57201"

"令和3年度港区行政資料集　年齢（５歳階級）別・総合支所別人口","Ver202101",,,,,,,,,,,,,,
