年度,設置数,定員（人）,総　数,小学1年生,小学2年生,小学3年生,小学4年生以上
2008,24,1170,1255,449,387,408,11
2009,24,1175,1215,428,452,411,8
2010,26,1225,1253,443,406,408,11
2011,26,1225,1228,415,434,404,15
2012,26,1225,1234,438,402,377,17
2013,26,1225,1289,477,429,382,12
2014,26,1225,1365,491,475,377,17
2015,26,1225,1406,500,471,379,15
2016,26,1225,1468,557,485,378,16
2017,26,1225,1612,623,537,437,15
2018,28,1325,1707,635,587,422,30
2019,30,1415,1797,681,583,415,37
