【図書館の所蔵資料】,,,,,,,,,,,,,,,,令和3年3月31日現在
種別,,単位,光が丘,練馬,石神井,平和台,大泉,関町,貫井,稲荷山,小竹,南大泉,南大泉分室,春日町,南田中,合計
図書資料,一般書,冊,214757,102836,158528,101700,152280,90052,90421,58968,54257,44364,1980,79806,64939,1214888
図書資料,青少年向け,冊,15534,3118,12474,4848,9914,8935,5933,3997,3702,7531,0,10291,6067,92344
図書資料,児童書,冊,98166,41306,46453,46431,61794,45922,41373,27133,27460,18295,24337,28907,37298,544875
図書資料,その他図書,冊,1243,0,0,0,0,0,0,0,0,0,0,0,0,1243
図書資料,合計,冊,329700,147260,217455,152979,223988,144909,137727,90098,85419,70190,26317,119004,108304,1853350
雑誌,,冊,14187,3764,2989,4378,3552,5767,4319,3421,2385,2004,227,2740,2398,52131
視聴覚資料,CD,組,18951,11066,7528,7263,8245,6550,7229,4529,8100,5015,0,9495,5976,99947
視聴覚資料,カセットテープ,組,61,137,191,390,238,51,132,75,76,0,0,60,0,1411
視聴覚資料,レコード,組,993,20,0,0,0,0,0,0,0,0,0,0,0,1013
視聴覚資料,DVD,組,2372,125,126,119,123,113,107,117,117,117,0,117,120,3673
視聴覚資料,ビデオ,組,217,101,92,45,95,106,0,44,5,0,0,32,60,797
視聴覚資料,合計,組,22594,11449,7937,7817,8701,6820,7468,4765,8298,5132,0,9704,6156,106841
視覚障害者用資料,点字図書,冊,1196,1172,-,-,-,-,-,-,-,-,-,-,-,2368
視覚障害者用資料,視覚障害者用録音図書,組,4016,-,-,-,-,-,-,-,-,-,-,-,-,4016
視覚障害者用資料,点字雑誌,組,291,-,-,-,-,-,-,-,-,-,-,-,-,291
視覚障害者用資料,視覚障害者用録音雑誌,組,696,-,-,-,-,-,-,-,-,-,-,-,-,696
視覚障害者用資料,視覚障害者用ＣＤ,組,206,-,-,-,-,-,-,-,-,-,-,-,-,206
視覚障害者用資料,マルチメディアデイジー,組,110,-,-,-,-,-,-,-,-,-,-,-,-,110
視覚障害者用資料,合計,組,6515,1172,-,-,-,-,-,-,-,-,-,-,-,7687
昆虫標本,,点,-,-,-,-,-,-,-,3968,-,-,-,-,-,3968
マイクロフィルム,,点,3140,-,-,-,-,-,-,-,-,-,-,-,-,3140
