【図書館の所蔵資料】,,,,,,,,,,,,,,,,令和2年3月31日現在
種別,,単位,光が丘,練馬,石神井,平和台,大泉,関町,貫井,稲荷山,小竹,南大泉,南大泉分室,春日町,南田中,合計
図書資料,一般書,冊,217659,108497,153588,99488,150962,88043,89793,58567,54187,46185,2035,78362,64520,1211886
図書資料,青少年向け,冊,15489,3260,11897,4660,9620,8168,5839,3935,3749,7827,0,10256,6149,90849
図書資料,児童書,冊,96586,42518,44597,44535,60469,44654,40039,26635,27564,18436,23777,28165,37289,535264
図書資料,その他図書,冊,1296,0,0,0,0,0,0,0,0,0,0,0,0,1296
図書資料,合計,冊,331030,154275,210082,148683,221051,140865,135671,89137,85500,72448,25812,116783,107958,1839295
雑誌,,冊,14586,3964,2936,4387,3636,5750,4278,3384,2354,2084,216,2947,2481,53003
視聴覚資料,CD,組,18697,11054,7517,7172,8236,6484,7473,4591,7919,5089,0,9517,5987,99736
視聴覚資料,カセットテープ,組,62,155,191,392,238,51,143,87,76,0,0,64,0,1459
視聴覚資料,レコード,組,940,20,0,0,47,0,7,0,0,0,0,0,0,1014
視聴覚資料,DVD,組,2182,113,114,107,111,101,94,104,105,104,0,105,108,3348
視聴覚資料,ビデオ,組,217,101,92,45,95,106,1,79,5,0,0,32,60,833
視聴覚資料,合計,組,22098,11443,7914,7716,8727,6742,7718,4861,8105,5193,0,9718,6155,106390
視覚障害者用資料,点字図書,冊,1161,1172,-,-,-,-,-,-,-,-,-,-,-,2333
視覚障害者用資料,視覚障害者用録音図書,組,3972,-,-,-,-,-,-,-,-,-,-,-,-,3972
視覚障害者用資料,点字雑誌,組,297,-,-,-,-,-,-,-,-,-,-,-,-,297
視覚障害者用資料,視覚障害者用録音雑誌,組,691,-,-,-,-,-,-,-,-,-,-,-,-,691
視覚障害者用資料,視覚障害者用ＣＤ,組,204,-,-,-,-,-,-,-,-,-,-,-,-,204
視覚障害者用資料,マルチメディアデイジー,組,109,-,-,-,-,-,-,-,-,-,-,-,-,109
視覚障害者用資料,合計,組,6434,1172,-,-,-,-,-,-,-,-,-,-,-,7606
昆虫標本,,点,-,-,-,-,-,-,-,3911,-,-,-,-,-,3911
マイクロフィルム,,点,3140,-,-,-,-,-,-,-,-,-,-,-,-,3140
