【図書館の所蔵資料】,,,,,,,,,,,,,,,,令和5年3月31日現在
種別,詳細,単位,光が丘,練馬,石神井,平和台,大泉,関町,貫井,稲荷山,小竹,南大泉,南大泉分室,春日町,南田中,合計
図書資料,一般書,冊,213302,104183,164618,105425,154139,93863,90843,58978,52740,43168,2032,76282,65900,1225473
図書資料,青少年向け,冊,16036,3135,12725,4971,10061,9643,6480,4097,3675,7276,0,9249,5995,93343
図書資料,児童書,冊,100329,42810,49518,49664,64254,48273,43654,28182,28263,18033,25862,28913,37872,565627
図書資料,その他図書,冊,1243,-,-,-,-,-,-,-,-,-,-,-,-,1243
図書資料,合計,冊,330910,150128,226861,160060,228454,151779,140977,91257,84678,68477,27894,114444,109767,1885686
雑誌,,冊,13468,3207,2814,3597,3451,6269,4158,3323,2306,1980,201,2695,2328,49797
視聴覚資料,CD,組,18392,11272,7669,7486,8228,6772,7263,4420,8142,4665,0,9170,6085,99564
視聴覚資料,カセットテープ,組,61,122,168,386,214,51,129,2,76,0,0,58,0,1267
視聴覚資料,レコード,組,927,19,-,-,-,-,-,-,-,-,-,-,-,946
視聴覚資料,DVD,組,2568,140,139,132,136,130,82,105,106,74,0,130,133,3875
視聴覚資料,ビデオ,組,216,101,92,45,95,105,0,25,5,0,0,32,25,741
視聴覚資料,合計,組,22164,11654,8068,8049,8673,7058,7474,4552,8329,4739,0,9390,6243,106393
視覚障害者用資料,点字図書,冊,1242,1172,-,-,-,-,-,-,-,-,-,-,-,2414
視覚障害者用資料,視覚障害者用録音図書,組,4122,-,-,-,-,-,-,-,-,-,-,-,-,4122
視覚障害者用資料,点字雑誌,組,299,-,-,-,-,-,-,-,-,-,-,-,-,299
視覚障害者用資料,視覚障害者用録音雑誌,組,678,-,-,-,-,-,-,-,-,-,-,-,-,678
視覚障害者用資料,視覚障害者用CD,組,23,-,-,-,-,-,-,-,-,-,-,-,-,23
視覚障害者用資料,マルチメディアデイジー,組,148,-,-,-,-,-,-,-,-,-,-,-,-,148
視覚障害者用資料,合計,点,6512,1172,-,-,-,-,-,-,-,-,-,-,-,7684
昆虫標本,,点,-,-,-,-,-,-,-,4995,-,-,-,-,-,4995
マイクロフィルム,,点,-,-,-,-,-,-,-,-,-,-,-,-,-,0
,※マイクロフィルムは、令和5年3月を以て廃止,,,,,,,,,,,,,,,
