【図書館の所蔵資料】,,,,,,,,,,,,,,,,平成30年3月31日現在
種別,,単位,光が丘,練馬,石神井,平和台,大泉,関町,貫井,稲荷山,小竹,南大泉,南大泉分室,春日町,南田中,合計
図書資料,一般書,冊,211599,107284,147465,91650,151928,78669,87370,57823,54326,46686,2026,77651,63383,1177860
図書資料,青少年向け,冊,15468,3188,8971,4008,8974,6962,5207,3779,3601,8101,0,11158,5863,85280
図書資料,児童書,冊,92181,41017,42689,40192,57784,41891,38270,25504,28654,18250,22728,28328,36403,513891
図書資料,その他図書,冊,1314,0,0,0,0,0,0,0,0,0,0,0,0,1314
図書資料,合計,冊,320562,151489,199125,135850,218686,127522,130847,87106,86581,73037,24754,117137,105649,1778345
雑誌,,冊,14569,3848,3013,4160,3601,5447,4400,3332,2423,1990,230,2989,2560,52562
視聴覚資料,CD,組,18217,10868,7620,6829,8059,6188,7473,4566,7620,4975,0,9378,5740,97533
視聴覚資料,カセットテープ,組,163,166,192,403,238,65,151,102,77,0,0,66,0,1623
視聴覚資料,レコード,組,941,20,0,0,47,0,7,0,0,0,0,0,0,1015
視聴覚資料,DVD,組,1354,81,83,80,84,78,68,74,80,80,0,78,81,2221
視聴覚資料,ビデオ,組,221,101,92,45,95,106,0,98,5,0,0,32,60,855
視聴覚資料,合計,組,20896,11236,7987,7357,8523,6437,7699,4840,7782,5055,0,9554,5881,103247
視覚障害者用資料,点字図書,冊,1123,1172,0,0,0,0,0,0,0,0,0,0,0,2295
視覚障害者用資料,視覚障害者用録音図書,組,3889,0,0,0,0,0,0,0,0,0,0,0,0,3889
視覚障害者用資料,点字雑誌,組,342,0,0,0,0,0,0,0,0,0,0,0,0,342
視覚障害者用資料,視覚障害者用録音雑誌,組,864,0,0,0,0,0,0,0,0,0,0,0,0,864
視覚障害者用資料,視覚障害者用ＣＤ,組,200,0,0,0,0,0,0,0,0,0,0,0,0,200
視覚障害者用資料,マルチメディアデイジー,組,88,0,0,0,0,0,0,0,0,0,0,0,0,88
視覚障害者用資料,合計,組,6506,1172,0,0,0,0,0,0,0,0,0,0,0,7678
昆虫標本,,点,0,0,0,0,0,0,0,3298,0,0,0,0,0,3298
マイクロフィルム,,点,3140,0,0,0,0,0,0,0,0,0,0,0,0,3140
