【図書館の所蔵資料】,,,,,,,,,,,,,,,,平成31年3月31日現在
種別,,単位,光が丘,練馬,石神井,平和台,大泉,関町,貫井,稲荷山,小竹,南大泉,南大泉分室,春日町,南田中,合計
図書資料,一般書,冊,210867,107965,150553,96141,152984,83561,88534,59051,54482,47271,2068,77156,63702,1194335
図書資料,青少年向け,冊,15192,3225,10646,4341,9335,7488,5531,3907,3606,8013,0,10849,6005,88138
図書資料,児童書,冊,94234,41591,44916,42591,59056,43134,38455,26249,28485,18575,23048,28033,37326,525693
図書資料,その他図書,冊,1357,0,0,0,0,0,0,0,0,0,0,0,0,1357
図書資料,合計,冊,321650,152781,206115,143073,221375,134183,132520,89207,86573,73859,25116,116038,107033,1809523
雑誌,,冊,14556,3890,2956,4375,3664,5542,4430,3352,2450,2064,218,2956,2497,52950
視聴覚資料,CD,組,18420,11008,7550,7010,8171,6379,7329,4620,7713,5055,0,9456,5845,98556
視聴覚資料,カセットテープ,組,99,159,191,398,238,60,149,87,76,0,0,64,0,1521
視聴覚資料,レコード,組,942,20,0,0,47,0,7,0,0,0,0,0,0,1016
視聴覚資料,DVD,組,1741,101,98,95,99,89,83,92,93,93,0,93,95,2772
視聴覚資料,ビデオ,組,218,101,92,45,95,106,0,98,5,0,0,32,60,852
視聴覚資料,合計,組,21420,11389,7931,7548,8650,6634,7568,4897,7887,5148,0,9645,6000,104717
視覚障害者用資料,点字図書,冊,1130,1172,-,-,-,-,-,-,-,-,-,-,-,2302
視覚障害者用資料,視覚障害者用録音図書,組,3911,-,-,-,-,-,-,-,-,-,-,-,-,3911
視覚障害者用資料,点字雑誌,組,351,-,-,-,-,-,-,-,-,-,-,-,-,351
視覚障害者用資料,視覚障害者用録音雑誌,組,845,-,-,-,-,-,-,-,-,-,-,-,-,845
視覚障害者用資料,視覚障害者用ＣＤ,組,202,-,-,-,-,-,-,-,-,-,-,-,-,202
視覚障害者用資料,マルチメディアデイジー,組,102,-,-,-,-,-,-,-,-,-,-,-,-,102
視覚障害者用資料,合計,組,6541,1172,-,-,-,-,-,-,-,-,-,-,-,7713
昆虫標本,,点,-,-,-,-,-,-,-,3298,-,-,-,-,-,3298
マイクロフィルム,,点,3140,-,-,-,-,-,-,-,-,-,-,-,-,3140
