【図書館の所蔵資料】,,,,,,,,,,,,,,,,平成29年3月31日現在
種別,,単位,光が丘,練馬,石神井,平和台,大泉,関町,貫井,稲荷山,小竹,南大泉,南大泉分室,春日町,南田中,合計
図書資料,一般書,冊,208034,106254,154373,87206,150127,75628,86597,57692,54545,46658,1974,77524,62736,1169348
図書資料,青少年向け,冊,15448,2988,7245,3697,8712,4114,5146,3681,3644,8348,0,11050,6019,80092
図書資料,児童書,冊,95150,40100,42604,38082,56943,36656,37557,24908,28414,17723,22264,27619,36412,504432
図書資料,その他図書,冊,1318,0,0,0,0,0,0,0,0,0,0,0,0,1318
図書資料,合計,冊,319950,149342,204222,128985,215782,116398,129300,86281,86603,72729,24238,116193,105167,1755190
雑誌,,冊,14627,4696,3929,3979,3669,3291,4368,3365,2487,2019,202,2942,2569,52143
視聴覚資料,CD,組,17950,10770,7631,6759,7966,6136,7674,4679,7505,4980,0,9431,5556,97037
視聴覚資料,カセットテープ,組,165,174,193,407,238,65,158,102,78,0,0,69,0,1649
視聴覚資料,レコード,組,272,20,0,485,47,185,8,0,0,0,0,0,0,1017
視聴覚資料,DVD,組,773,65,68,65,66,65,54,62,65,66,0,63,64,1476
視聴覚資料,ビデオ,組,217,102,92,45,95,107,0,100,117,0,0,94,60,1029
視聴覚資料,合計,組,19377,11131,7984,7761,8412,6558,7894,4943,7765,5046,0,9657,5680,102208
視覚障害者用資料,点字図書,冊,1109,1172,0,0,0,0,0,0,0,0,0,0,0,2281
視覚障害者用資料,視覚障害者用録音図書,組,3846,0,0,0,0,0,0,0,0,0,0,0,0,3846
視覚障害者用資料,点字雑誌,組,350,0,0,0,0,0,0,0,0,0,0,0,0,350
視覚障害者用資料,視覚障害者用録音雑誌,組,975,0,0,0,0,0,0,0,0,0,0,0,0,975
視覚障害者用資料,視覚障害者用ＣＤ,組,207,0,0,0,0,0,0,0,0,0,0,0,0,207
昆虫標本,,点,0,0,0,0,0,0,0,3261,0,0,0,0,0,3261
マイクロフィルム,,点,3140,0,0,0,0,0,0,0,0,0,0,0,0,3140
