地区名,船型（ＧＴ）,既定計画／内航（隻）,既定計画／外航（隻）,今回計画／内航（隻）,今回計画／外航（隻）
内港地区（晴海ふ頭）,20000～29999,56,23,,
内港地区（晴海ふ頭）,30000～39999,,20,,
内港地区（晴海ふ頭）,50000～59999,15,,,
内港地区（晴海ふ頭）,60000～69999,,25,,
内港地区（晴海ふ頭）,小計,71,68,0,0
中部地区（１３号地）,20000～29999,,,56,23
中部地区（１３号地）,30000～39999,,,,20
中部地区（１３号地）,50000～59999,,,15,
中部地区（１３号地）,60000～69999,,,,25
中部地区（１３号地）,110000～119999,,20,,20
中部地区（１３号地）,137276,,25,,25
中部地区（１３号地）,154407,,25,,25
中部地区（１３号地）,220000,,4,,4
中部地区（１３号地）,小計,0,74,71,142
合計,,71,142,71,142
