区分,内容
計画の名称,東京港における海岸防災機能の維持・強化（防災・安全）
重点計画の該当,-
計画の期間,平成28年度～平成32年度（5年間）
交付対象,東京都
計画の目標,大規模地震水害や伊勢湾台風級の高潮から都民の生命と財産を守り、首都東京の中枢機能を確保するため、海岸保全施設の耐震対策や老朽化対策を実施する。
計画の成果目標（定量的指標）,地震時において東京港の背後地を浸水被害から守るために必要な護岸の耐震性確保率を77%（H32）とする。水門・排水機場の耐震・耐水性確保率を100％（H32)とする。
