地区名,埠頭用地(ha),港湾関連用地(ha),交流厚生用地(ha),工業用地(ha),都市機能用地(ha),交通機能用地(ha),緑地(ha),廃棄物処理施設用地(ha),合計(ha)
内港地区,53,75,12,11,152,29,41,3,375
内港地区／港湾の開発、利用及び保全並びに港湾に隣接する地域の保全に特に密接に関連する土地利用計画の内数,53,75,12,11,-,5,36,3,194
中部地区,147,93,48,29,194,137,114,-,762
中部地区／港湾の開発、利用及び保全並びに港湾に隣接する地域の保全に特に密接に関連する土地利用計画の内数,147,93,48,29,-,44,49,-,411
合計,200,168,60,40,346,165,154,3,1136
合計／港湾の開発、利用及び保全並びに港湾に隣接する地域の保全に特に密接に関連する土地利用計画の内数,200,168,60,40,-,49,85,3,605
