区分,内容
計画の名称,１地域の振興を担う「みなと」づくり
重点計画の該当,無し
計画の期間,平成27年度～平成31年度（5年間）
交付対象,東京都
計画の目標,・旅客船ターミナル、小型船係留施設の整備等を行ない、島民や観光客の移動の利便性及び安全性の向上と良好な周辺環境の形成を図る。
計画の成果目標（定量的指標）,・港内静穏度を高め、定期船の就航率を向上する。
