発生源（東京都）,窒素酸化物(NOx)（ｔ／年）,二酸化硫黄(S02)（ｔ／年）,浮遊粒子状物質(SPM)（ｔ／年）
工場,4835,1607,146
自動車,5030,21,12
船舶,4821,933,166
航空機,4964,41,280
民生,2161,33,76
合計,21811,2635,680
