項目,地区,窒素酸化物(NOx)（ｔ／年）,二酸化硫黄(S02)（ｔ／年）,浮遊粒子状物質(SPM)（ｔ／年）
既定計画,内港地区（晴海ふ頭）,99.4,19.1,2.9
既定計画,中部地区(13号地）,113.1,20.7,3.1
既定計画,計,212.5,39.8,6
今回計画,中部地区(13号地）,199.9,37.6,5.6
今回計画－既定計画,,-12.6,-2.2,-0.4
