区分,内容
計画の名称,１　地域の振興を担う「みなと」づくり及び伊豆諸島地域における総合的な高潮・侵食・環境対策の推進（防災・安全）
重点計画の該当,無
計画の期間,平成27年度～平成31年度（5年間）
交付対象,東京都
計画の目標,・旅客船ターミナル、小型船係留施設の整備等を行ない、島民や観光客の移動の利便性及び安全性の向上と良好な周辺環境の形成を図る。／・台風や冬季風浪等に伴う高潮・侵食対策として海岸保全施設の整備を行い、人命・財産を防護する。
計画の成果目標（定量的指標）,・港内静穏度を高め、火山噴火等の災害時に避難岸壁から確実に避難できるようにする／・浸水想定区域面積10.5ha／人口213人を解消する
