項目,将来（平成30年代後半）／外航船,将来（平成30年代後半）／内航船
二酸化硫黄,燃料油中の硫黄分をＡ重油０．５％、Ｃ重油０．５％として、排出係数を設定した。,燃料油中の硫黄分をA重油０．５％、Ｃ重油０．５％として、排出係数を設定した。
浮遊粒子状物質,燃料油中の硫黄分をＡ重油０．５％、Ｃ重油０．５％として、排出係数を設定した。,燃料油中の硫黄分をA重油０．５％、Ｃ重油０．５％として、排出係数を設定した。
