総トン数(GT),全長L(m),型幅B(m),満載喫水d(m),備考
225282,362,47,9.3,対象船舶：世界最大の客船オアシス・オブ・ザ・シーズ
148528,345,41,10.3,対象船舶：日本寄港最大の客船クイーンメリー2
