区分,番号,事業種別,地域種別,交付対象,直接間接,事業者,要素となる事業名（事業箇所）,事業内容（面積等）,市町村名／港湾・地区名,事業実施期間（年度）／H27,事業実施期間（年度）／H28,事業実施期間（年度）／H29,事業実施期間（年度）／H30,事業実施期間（年度）／H31,全体事業費（百万円）,全体事業費／効果促進事業費の割合｛Ｃ／（Ａ＋Ｂ＋Ｃ＋Ｄ）｝(%),一体的に実施することにより期待される効果,備考
A基幹事業,1-A1-1,港湾,離島,東京都,直接,‐／地方／建設,岡田港道路,道路整備延長640m,岡田港・岡田地区,,,○,,,24 ,,,
A基幹事業,1-A1-2,港湾,離島,東京都,直接,‐／地方／建設,岡田港臨港交通施設,駐車場1.2ha,岡田港・岡田地区,,,○,○,,225 ,,,
A基幹事業,1-A1-3,港湾,離島,東京都,直接,‐／地方／建設,利島港防波堤(波除)(東),延長30m,利島港・前浜地区,○,○,,,,1482 ,,,
A基幹事業,1-A1-4,港湾,離島,東京都,直接,‐／地方／建設,利島港物揚場(-3.0m)(東),水深-3.0m延長50m,利島港・前浜地区,,,,○,○,120 ,,,
A基幹事業,1-A1-5,港湾,離島,東京都,直接,‐／地方／建設,利島港船揚場,延長20m,利島港・前浜地区,,,,○,○,140 ,,,
A基幹事業,1-A1-6,港湾,離島,東京都,直接,‐／地方／建設,利島港道路(東),延長150m,利島港・前浜地区,,,,,○,150 ,,,
A基幹事業,1-A1-10,港湾,離島,東京都,直接,‐／地方／建設,青ヶ島港岸壁(-6.0m),水深-6.0m延長40m,青ヶ島港・三宝地区,○,○,○,○,○,1198 ,,,
A基幹事業,1-A1-11,港湾,離島,東京都,直接,‐／地方／建設,青ヶ島港護岸(防波)(東),延長40m,青ヶ島港・三宝地区,○,○,○,○,○,2148 ,,,
A基幹事業,1-A1-12,港湾,離島,東京都,直接,‐／地方／建設,青ヶ島港防波堤（波除）,延長16m,青ヶ島港・三宝地区,,,○,○,,345 ,,,
A基幹事業,1-A1-13,港湾,離島,東京都,直接,‐／地方／建設,新島港防波堤(B)(改良),延長185m,新島港・前浜地区,,,,○,○,518 ,,,
A基幹事業／合計,,,,,,,,,,,,,,,6350 ,,,
Ｂ関連社会資本整備事業（該当なし）,,,,,,,,,,,,,,,,,,
Ｃ効果促進事業,1-C1-1,施設整備,離島,東京都,直接,‐／船客待合所の整備,港湾振興に活用できる船客待合所の整備,船客待合所1棟,岡田港・岡田地区,,○,○,,,,,港湾事業（岡田港臨港交通施設）と一体的に整備することにより、賑わいと活力ある港湾空間の形成を図る。,
Ｃ効果促進事業／合計,,,,,,,,,,,,,,,1464 ,,,
Ｄ社会資本整備円滑化地籍整備事業,,,,,,,,,,,,,,,,,,
合計（Ａ＋Ｂ＋Ｃ＋Ｄ）,,,,,,,,,,,,,,,7814 ,19,,
