地区名,埠頭名,対象船舶（ＧＴ）,水深（ｍ）,既定計画／バース数,既定計画／延長（ｍ）,今回計画／バース数,今回計画／延長（ｍ）,種別
中部地区（13号地）,新客船,230000,11.5,1,430,2,680,既定計画の変更計画
内港地区（晴海ふ頭）,晴海客船,20000,10,1,225,-,-,廃止
