定量的指標の定義及び算定式,定量的指標の現況値及び目標値／当初現況値／（H28当初）,定量的指標の現況値及び目標値／中間目標値／（H30末）,定量的指標の現況値及び目標値／最終目標値／（H32末）,備考,,,,,,,,,,,,,,,,,,
護岸の耐震性確保率は、地震時において東京港の背後地を浸水被害から守るために必要な護岸のうち、耐震整備が完了した護岸の割合（浸水被害を防止する堤防・護岸の耐震性確保率）＝（整備済み堤防・護岸の延長）/（浸水被害を防止するために必要な堤防・護岸の延長）(%),15 ,47 ,77 ,,,,,,,,,,,,,,,,,,,
水門・排水機場の耐震性確保率は、地震時において東京港の背後地を浸水被害から守るために必要な水門・排水機場のうち、耐震・耐水対策が完了した水門・排水機場の割合（水門・排水機場等の耐震・耐水確保率）＝（耐震・耐水整備完了済みの水門・排水機場数）/（浸水被害を防止するために必要な水門・排水機場数）(%),14 ,79 ,100 ,,,,,,,,,,,,,,,,,,,
本計画で対象としている老朽化対策を実施した数量（基）,0,6,6,,,,,,,,,,,,,,,,,,,
