地区名,位置,名称,緑地の現況／緑地面積（ｈa）,緑地の現況／状況,緑地計画／緑地面積（ｈａ）,緑地計画／状況,緑地計画／主な用途,緑地計画／備考
内港地区,1,竹芝,0.8,既設,0.8,既設,ターミナル緑地,
内港地区,2,日の出ふ頭公園,2.2,既定計画,2.2,既定計画,ふ頭公園,
内港地区,3,芝浦北ふ頭公園,0.5,既定計画,0.5,既定計画,ふ頭公園,
内港地区,4,芝浦南ふ頭公園,2,既定計画,2,既定計画,ふ頭公園,
内港地区,5,品川北ふ頭公園,0.7,既設,0.7,既設,ふ頭公園,
内港地区,6,晴海ふ頭公園,2.5,既設,2.5,既設,ふ頭公園,
内港地区,6,晴海ふ頭公園,-,-,1.1,新規計画,ふ頭公園,
内港地区,6,晴海,-,-,3,新規計画,-,
内港地区,7,晴海,3,既設,3,既設,親水緑地,
内港地区,7,晴海緑道公園,2.2,既定計画,2.2,既定計画,緑道公園,
内港地区,7,晴海緑道公園,-,-,1.4,新規計画,緑道公園,
内港地区,8,春海橋公園,2,既設,2,既設,ふ頭公園,
内港地区,8,春海橋公園,0.1,既定計画,0.1,既定計画,ふ頭公園,
内港地区,9,豊洲,14.5,既設（工事中）,14.5,既設（工事中）,親水緑地,
地区計,,,30.5,,36,,,
南部地区,10,みなとが丘ふ頭公園,5,既設,5,既設,ふ頭公園,
南部地区,11,大井ふ頭中央海浜公園,47.5,既設,47.5,既設,海浜公園,
南部地区,12,東海ふ頭公園,5.1,既設（工事中）,5.1,既設（工事中）,ふ頭公園,
南部地区,12,東海ふ頭公園,2.4,既定計画,2.4,既定計画,ふ頭公園,
南部地区,13,東京港野鳥公園,21.4,既設,21.4,既設,海浜公園,
南部地区,13,大井ふ頭その１・その２間,0.3,既定計画,0.3,既定計画,海浜公園,
南部地区,14,昭和島南緑道公園,3.9,既定計画,3.9,既定計画,緑道公園,
南部地区,15,京浜島ふ頭公園,1.4,既設,1.4,既設,ふ頭公園,
南部地区,16,京浜島つばさ公園,3.5,既設,3.5,既設,ふ頭公園,
南部地区,17,城南島ふ頭公園,1.4,既設,1.4,既設,ふ頭公園,
南部地区,18,城南島海浜公園,13.1,既設,13.1,既設,海浜公園,
南部地区,18,城南島海浜公園,1.8,既定計画,1.8,既定計画,海浜公園,
地区計,,,106.8,,106.8,,,
中部地区,19,お台場海浜公園,10,既設,10,既設,海浜公園,
中部地区,20,青海中央ふ頭公園,1.7,既設,1.7,既設,ふ頭公園,
中部地区,21,青海南ふ頭公園,2.8,既設,2.8,既設,ふ頭公園,
中部地区,22,暁ふ頭公園,2,既設,2,既設,ふ頭公園,
中部地区,22,暁ふ頭公園,2,既定計画,2,既定計画,ふ頭公園,
中部地区,23,有明北緑道公園,1.2,既設,1.2,既設,緑道公園,
中部地区,24,有明親水海浜公園,5.2,既設,5.2,既設,海浜公園,
中部地区,24,有明親水海浜公園,7.1,既定計画,7.1,既定計画,海浜公園,
中部地区,25,有明テニスの森公園,15.8,既設,15.8,既設,緑道公園,
中部地区,26,フェリーふ頭公園,0.9,既設,0.9,既設,ふ頭公園,
地区計,,,48.7,,48.7,,,
東部地区,27,辰巳の森海浜公園,24.6,既設（工事中）,24.6,既設（工事中）,海浜公園,
東部地区,27,辰巳の森緑道公園,14.2,既設,14.2,既設,緑道公園,
東部地区,28,夢の島緑道公園,12.1,既設,12.1,既設,緑道公園,
東部地区,29,新木場公園,0.9,既設,0.9,既設,ふ頭公園,
東部地区,30,新木場緑道公園,5.3,既設,5.3,既設,緑道公園,
東部地区,31,若洲ふ頭公園,1.5,既定計画,1.5,既定計画,ふ頭公園,
東部地区,32,若洲海浜公園,68.5,既設,68.5,既設,海浜公園,
地区計,,,127.1,,127.1,,,
中央防波堤地区,33,海の森公園,85.7,既設（工事中）,85.7,既設（工事中）,海浜公園,
中央防波堤地区,34,中央防波堤内側ふ頭公園,1.2,既定計画,1.2,既定計画,ふ頭公園,
中央防波堤地区,35,中央防波堤外側及び新海面処分場,96.7,既定計画,96.7,既定計画,海浜公園・親水緑地,
地区計,,,183.6,,183.6,,,
合計,,,496.7,,502.2,,,
