計画地,水深(m),岸壁（バース）,延長(m),備考
内港地区／晴海ふ頭,10,1,240,既設の変更計画
内港地区／晴海ふ頭,9,3,552,既設の変更計画
内港地区／晴海ふ頭（既設）,9,1,90,
内港地区／晴海ふ頭（既設）,10,1,135,
内港地区／晴海ふ頭（既設）,10,1,225,
