区分,埠頭用地(ha),港湾関連用地(ha),交流厚生用地(ha),工業用地(ha),都市機能用地(ha),交通機能用地(ha),緑地(ha),廃棄物処理施設用地(ha),海面処分用地(ha),合計(ha)
内港地区,53.2,74.6,11.5,10.6,152.4,28.6,40.6,3,-,374.5
内港地区／港湾の開発、利用及び保全並びに港湾に隣接する地域の保全に特に密接に関連する土地利用計画の内数,53.2,74.6,11.5,10.6,-,4.6,36,3,-,193.5
中部地区,147.2,93.2,48.1,29.4,193.7,136.6,113.5,-,-,761.7
中部地区／港湾の開発、利用及び保全並びに港湾に隣接する地域の保全に特に密接に関連する土地利用計画の内数,147.2,93.2,48.1,29.4,-,44.4,48.7,-,-,411
合計,200.4,167.8,59.6,40,346.1,165.2,154.1,3,-,1136.2
合計／港湾の開発、利用及び保全並びに港湾に隣接する地域の保全に特に密接に関連する土地利用計画の内数,200.4,167.8,59.6,40,-,49,84.7,3,-,604.5
