定量的指標の定義及び算定式,定量的指標の現況値及び目標値／当初現況値／（H27当初）,定量的指標の現況値及び目標値／中間目標値／（H30末）,定量的指標の現況値及び目標値／最終目標値／（H31末）,備考
・定期船の就航率を調査する。(%),61,-,65,
・定期船（高速船）の就航率を調査する。(%),63,-,79,
