区分,内容
計画の名称,1東京港における港湾防災機能の維持・強化（防災・安全）
重点計画の該当,-
計画の期間,平成28年度～平成32年度（5年間）
交付対象,東京都
計画の目標,係留施設及び橋梁の耐震改良を実施し、大規模地震発生時の緊急物資輸送機能を確保する／東京2020オリンピック・パラリンピック競技大会会場周辺の臨港道路等において無電柱化を実施し、防災安全性の向上や良好な都市景観の形成、快適な歩行空間の確保を図る／予防保全型の維持管理等を行い、港湾施設の延命化を図るとともに必要とする機能を良好な状態を確保する
計画の成果目標（定量的指標）,耐震強化岸壁の整備を推進し、大規模地震時における緊急物資取扱量の増加／緊急輸送道路上に位置するなど、重要な橋梁の耐震化率の向上／電柱倒壊による道路閉塞が回避される道路空間の確保率の向上／老朽化に伴う港湾施設（13号地ふ頭岸壁）の利用制限の解消／老朽化対策が必要な係留施設や臨港交通施設に対し、予防保全的な対策を実施した割合の向上
