事業名,根拠規程,平成28年度決算額（千円）,支出先
フィーダー輸送利用補助,フィーダー輸送利用補助制度補助金交付要綱,109994,東京港を利用する船舶運航事業者　10件
コンテナ輸送用はしけ横持補助,コンテナ輸送用はしけ横持補助制度補助金交付要綱,19134,コンテナバージによる横持輸送を依頼する者　7件
港内横持補助,港内横持補助制度（東京貨物ターミナル駅～東京港コンテナターミナル）補助金交付要綱,9134,横持輸送を依頼又は営む者　2件
東京港等客船誘致促進補助,東京港等客船誘致促進補助制度補助金交付要綱,7475,クルーズ客船運航事業者　7件
緊急放送設備整備補助,緊急放送設備整備補助金交付要綱,23465,江東区
東京都臨海副都心おもてなし促進事業,"1,東京都臨海副都心おもてなし促進事業補助要綱_（新たな観光資源の創出）",,
東京都臨海副都心おもてなし促進事業,"2,東京都臨海副都心おもてなし促進事業補助要綱_（外国人来訪者の受入体制環境整備）",,
東京都臨海副都心おもてなし促進事業（合計）,,39763,民間事業者　15件
航空保安検査補助,航空保安検査補助金交付要綱,20811,航空運送事業者　2社
伊豆諸島定期航路事業補助,離島航路補助金交付要綱,481835,離島航路事業者　3社
伊豆諸島海上貨物運賃補助,伊豆諸島海上貨物運賃補助金交付要綱,311093,貨物輸送事業者　5社
伊豆大島旅客運賃補助（航路）,伊豆大島船舶旅客運賃補助金交付要綱,153135,一般旅客定期航路事業者　1社
伊豆大島旅客運賃補助（航空路）,伊豆大島航空旅客運賃補助金交付要綱,7987,航空運送事業者　1社
離島航空路補助,東京都離島航空路線運航費補助金交付要綱,205707,航空運送事業者　2社
航空機購入費補助,東京都航空機購入費補助金交付要綱,683101,航空運送事業者　１社
調布飛行場周辺住宅等騒音防止工事に関する補助,東京都調布飛行場周辺住宅等騒音防止工事に関する補助金交付要綱,342,住宅　3件
