計画地,水深(m),岸壁（バース）,延長(m),土地用途,面積(ha),バース名,備考
中部地区／13号地,11.5,2,680,埠頭用地,4,AP1～AP2,既定計画の変更計画
中部地区／13号地（既定計画）,11.5,1,430,埠頭用地,3,AP1,
晴海地区,10,1,225,-,-,H1,廃止
