規制段階,係数比(a),将来（平成３０年代後半）／外航船／対応する船齢,将来（平成３０年代後半）／外航船／構成割合(%)(b),将来（平成３０年代後半）／外航船／係数((a)X(b)),将来（平成３０年代後半）／内航船／対応する船齢,将来（平成３０年代後半）／内航船／構成割合(%)(b),将来（平成３０年代後半）／内航船／係数((a)X(b))
未規制,1.3,25年～,16,0.208,20年～,26,0.338
一次規制,1,15～25年,26,0.26,15～20年,16,0.16
二次規制,0.82,0～15年,58,0.476,0～15年,58,0.476
重み付け係数,-,-,,0.944,-,,0.974
