エリア区分,種別,ふ頭名,水深(m),バース数,延長(m),10m岸壁換算パース数,物資取扱量（トン/日）,オープンスペース所用面積(ha)／仕分け一時保管１２ｍ2／ｔ,オープンスペース所用面積(ha)／駐車場１２ｍ2／ｔ,オープンスペース所用面積(ha)／合計,計画上対応するオープンスペース（海上公園等）／対象箇所,計画上対応するオープンスペース（海上公園等）／計画決定面積(ha)
内港＋南部,既設,芝浦内貿雑貨,7.5,5,650,3.8,950,1.1,1.1,2.2,芝浦北ふ頭公園,0.4
内港＋南部,既設,芝浦内貿雑貨,-,-,-,-,-,-,-,-,芝浦南ふ頭公園,2
内港＋南部,既定計画,品川ユニットロード,8.5,3,690,4.1,1025,1.2,1.2,2.4,品川ふ頭公園,0.6
内港＋南部,既定計画,品川ユニットロード,-,-,-,-,-,-,-,-,品川南ふ頭公園（区）,0.8
内港＋南部,既定計画,日の出貨客船,7.5,1,155,0.9,225,0.3,0.3,0.6,日の出ふ頭公園,2.2
内港＋南部,既定計画,竹芝貨客船,7.5,1,155,0.9,225,0.3,0.3,0.6,竹芝ふ頭ターミナル,1.2
内港＋南部,既設,大井食品,11,2,380,2.2,550,0.7,0.7,1.4,東海ふ頭公園,6.9
内港＋南部,エリア合計,,,,,11.9,-,-,-,7.2,-,14.1
豊洲・晴海,既定計画の変更計画,晴海物資補給,10,1,240,1.4,350,0.4,0.4,0.8,晴海ふ頭公園,6.6
臨海副都心,既設,１０号地その１西側多目的,7.5,1,180,1.1,275,0.3,0.3,0.6,有明西ふ頭公園,1
臨海副都心,工事中,１０号地その２フェリー,8.5,1,270,1.6,400,0.5,0.5,1,フェリーふ頭公園,0.9
臨海副都心,工事中既定計画,１０号地その２ユニットロード,9,6,1380,8.1,2025,2.4,2.4,4.8,シンボルプロムナード,26.2
臨海副都心,既定計画,１０号地その１東側多目的,8.5,1,230,1.4,350,0.4,0.4,0.8,交流厚生用地,5.3
臨海副都心,既定計画,新客船,11.5,1,240,1.4,350,0.4,0.4,0.8,青海ふ頭公園,4.7
臨海副都心,-,-,-,-,-,-,-,-,-,-,青海中央ふ頭公園,1.3
臨海副都心,エリア合計,,,,,13.6,-,-,-,8,-,39.4
東部,既設,辰巳内貿雑貨,5,2,160,0.9,225,0.3,0.3,0.6,辰巳の森緑道公園,14.6
中央防波堤,既設,中央防波堤内側ユニットロード,9,1,230,1.4,350,0.4,0.4,0.8,海の森公園,85.7
