定量的指標の定義及び算定式,定量的指標の現況値及び目標値／当初現況値／（H27当初）,定量的指標の現況値及び目標値／中間目標値,定量的指標の現況値及び目標値／最終目標値／（H31末）,備考
・避難岸壁の静穏度を調査する(%),89,-,99,
・浸水想定区域面積／人口,10.5ha／213人,-,6.7ha／96人,
