定量的指標の定義及び算定式,定量的指標の現況値及び目標値／当初現況値／（H28当初）,定量的指標の現況値及び目標値／中間目標値／（H30末）,定量的指標の現況値及び目標値／最終目標値／（H32末）,備考
大規模災害時における耐震強化岸壁の緊急物資取扱可能量（トン／日）,2475,2475,2700,
重要な橋梁のうち、耐震補強が完了した橋梁の割合：（耐震化率）＝（耐震補強完了済み橋梁数）／（緊急輸送道路等にかかる重要な橋梁数）(%),70,70,100,
（電柱倒壊による道路閉塞が回避される道路空間の確保率）＝（整備対象道路の整備完了道路延長）／（整備対象道路延長）(%),0,0,100,
13号地ふ頭岸壁の利用制限の解消数の増加（バース）,0,0,1,
老朽化対策が必要な施設に対し、対策を実施した割合(%),0,30,100,
