"設置場所","住所","設置台数[台]","利用場所","緯度","経度"
"ありすの杜きのこ南麻布","東京都港区南麻布四丁目6番1号","3","B1階MDF内","35.650254","139.726638"
"エコプラザ","東京都港区浜松町一丁目13番1号","4","1階事務室内IDF","35.658632","139.7568238"
"お台場海浜公園マリンハウス","東京都港区台場一丁目4番","5","1階公衆電話横","35.629803","139.775275"
"お台場学園","東京都港区台場一丁目1番5号","15","校舎入口","35.633775","139.77704"
"ニューピア竹芝ノースタワー(ニューピアホール)","東京都港区海岸一丁目11番1号","5","出入口","35.655729","139.763709"
"ベル","東京都港区西麻布四丁目7番2号","1","施設入口","35.656239","139.722244"
"ホテルアジュール竹芝","東京都港区海岸一丁目11番2号","5","出入口","35.655304","139.763265"
"ホテルオークラ","東京都港区虎ノ門二丁目10番4号","10",,"35.666749","139.743497"
"ルネサンス麻布","東京都港区南麻布二丁目10番21号","1","1階:受付わき","35.647968","139.735206"
"旧氷川小学校","東京都港区赤坂六丁目6番14号","5","出入り口横","35.669966","139.737659"
"虎ノ門いきいきプラザ","東京都港区港区虎ノ門一丁目21番10号","2","1階IDF内","35.667905","139.748713"
"御成門小学校","東京都港区芝公園三丁目2番4号","5","出入り口横","35.661084","139.749586"
"御成門中学校","東京都港区西新橋三丁目25番30号","5","出入り口横","35.661742","139.750385"
"御田小学校","東京都港区三田四丁目11番38号","10","校舎入口","35.643181","139.738044"
"港パーク芝浦1階リーブラホール","東京都港区芝浦一丁目16番1号","5","1階空調室","35.646717","139.751751"
"港パーク芝浦5階スポーツセンタ","東京都港区芝浦一丁目16番1号","5","5階空調室","35.646717","139.751751"
"港勤労福祉会館","東京都港区芝五丁目18番2号","4","1階ロビー","35.648013","139.748491"
"港南いきいきプラザ(ゆとりーむ)","東京都港区港南四丁目2番1号","5","出入り口横","35.629624","139.747098"
"港南の郷","東京都港区港南三丁目3番23号","2","1階事務室端子盤内","35.633266","139.749263"
"港南子ども中高生プラザ","東京都港区港南四丁目3番7号","8","1階:受付裏MDF内","35.631006","139.749703"
"港南小学校","東京都港区港南四丁目3番28号","10","校舎入口","35.629227","139.749657"
"港南中学校","東京都港区港南四丁目3番3号","5","校舎入口","35.631207","139.749078"
"高松中学校","東京都港区高輪一丁目16番25号","10","校舎入口","35.640627","139.734131"
"高陵中学校","東京都港区西麻布四丁目14番8号","8","校舎入口","35.656991","139.720539"
"高輪いきいきプラザ","東京都港区高輪三丁目18番15号","2","施設入口","35.63322","139.73571"
"高輪区民センター","東京都港区高輪一丁目16番25号","5","出入り口横","35.64217","139.734013"
"高輪子ども中高生プラザ","東京都港区高輪一丁目4番35号","7","1階IDF内","35.642374","139.734832"
"高輪台小学校","東京都港区高輪二丁目8番24号","8","校舎入口","35.63642","139.734367"
"国際医療福祉大学","東京都港区赤坂四丁目1番26号","5","1F通路壁面ホール","35.676527","139.7347778"
"三光小学校","東京都港区白金三丁目18番2号","9","校舎入口","35.644328","139.729204"
"三田いきいきプラザ","東京都港区芝四丁目1番17号","3","施設入口","35.648781","139.749768"
"三田高等学校","東京都港区三田一丁目4番46号","5","1Fエントランス","35.652365","139.743455"
"三田小学校","東京都港区三田四丁目13番13号","5","校舎入口","35.645357","139.740831"
"資生堂","東京都港区東新橋一丁目6番2号","1","汐留鹿島棟B4Fオフィス","35.664383","139.760667"
"芝浦港南区民センター","東京都港区芝浦四丁目13番1号","4","1階ホール","35.640522","139.74863"
"芝浦小学校","東京都港区芝浦四丁目8番18号","6","校舎入口","35.638124","139.746205"
"芝高齢者在宅サービスセンター","東京都港区芝三丁目24番5号","1","施設入口","35.651516","139.748084"
"芝商業高等学校","東京都港区海岸一丁目8番25号","5","1Fエントランス","35.656523","139.760548"
"芝小学校","東京都港区芝二丁目21番3号","8","校舎入口","35.651349","139.750176"
"障害保険福祉センター","東京都港区芝一丁目8番23号","5","1階IDF内","35.651557","139.755573"
"神応小学校","東京都港区白金六丁目9番5号","10","校舎入口","35.643722","139.724481"
"神明いきいきプラザ","東京都港区浜松町一丁目6番7号","8","1階喫茶コーナー","35.658826","139.757554"
"生涯学習センター(ばるーん)","東京都港区新橋二丁目16番3号","5","出入り口横","35.665603","139.757085"
"西麻布いきいきプラザ","東京都港区西麻布二丁目13番3号","3","1階自販機コーナー","35.660902","139.722721"
"青山いきいきプラザ","東京都港区南青山二丁目16番5号","5","出入り口横","35.669189","139.721262"
"青山小学校","東京都港区南青山二丁目21番2号","10","校舎入口","35.669882","139.719084"
"青山中学校","東京都港区北青山一丁目1番9号","5","出入り口横","35.674188","139.72218"
"青南いきいきプラザ","東京都港区南青山四丁目10番1号","2","施設入口","35.666464","139.717321"
"青南小学校","東京都港区南青山四丁目21番15号","10","校舎入口","35.663506","139.716153"
"赤羽小学校","東京都港区三田一丁目4番52号","5","出入り口横","35.653347","139.742537"
"赤坂いきいきプラザ","東京都港区赤坂六丁目4番8号","5","出入り口横","35.669966","139.737659"
"赤坂区民センター","東京都港区赤坂四丁目18番13号","5","出入り口横","35.674749","139.731634"
"赤坂小学校","東京都港区赤坂八丁目13番29号","5","出入り口横","35.669305","139.731065"
"台場フロンティアビル","東京都港区台場二丁目3番2号","5","出入口","35.628671","139.777767"
"台場区民センター","東京都港区台場一丁目5番1号","3","施設入口","35.629987","139.776995"
"台場高齢者在宅サービスセンター","東京都港区港区台場一丁目5番5号","1","1階:元公衆電話台","35.630566","139.777984"
"島しょ農林水産総合センター","東京都港区海岸二丁目7番104号","5","出入口","35.650688","139.760473"
"東京港建設事務所","東京都港区港南三丁目9番56号","5","出入口","35.633409","139.751978"
"東京都立中央図書館","東京都港区南麻布五丁目7番13号","5","1F廊下","35.652115","139.726371"
"東町小学校","東京都港区南麻布一丁目8番11号","5","出入り口横","35.650901","139.73584"
"東麻布保育園","東京都港区東麻布二丁目1番1号","4","校舎入口","35.658162","139.742551"
"南山小学校","東京都港区元麻布三丁目8番15号","10","校舎入口","35.657271","139.731056"
"南麻布いきいきプラザ","東京都港区南麻布一丁目5番26号","2","施設入口","35.651414","139.73509"
"白金いきいきプラザ","東京都港区白金三丁目10番12号","5","出入り口横","35.645216","139.731238"
"白金の丘学園","東京都港区白金四丁目1番12号","5","1階MDF","35.6437","139.726835"
"白金の森特別養護老人ホーム","東京都港区白金台五丁目20番5号","1","施設入口","35.637152","139.721938"
"白金小学校","東京都港区白金台一丁目4番26号","5","校舎入口","35.636912","139.728568"
"白金台いきいきプラザ","東京都港区白金台四丁目8番5号","5","出入り口横","35.637738","139.724908"
"飯倉いきいきプラザ","東京都港区東麻布二丁目16番11号","2","校舎入口","35.656904","139.740889"
"福祉プラザさくら川","東京都港区新橋六丁目19番2号","5","1階体育館","35.661192","139.753738"
"豊岡いきいきプラザ","東京都港区三田五丁目7番7号","2","校舎入口","35.646517","139.739624"
"北青山高齢者在宅サービスセンター","東京都港区北青山一丁目6番1号","1","施設入口","35.673644","139.72167"
"本村いきいきプラザ","東京都港区南麻布三丁目5番15号","2","施設入口","35.651087","139.730365"
"本村小学校","東京都港区南麻布三丁目9番33号","5","2階IDF内","35.649818","139.729959"
"麻布区民センター","東京都港区六本木五丁目16番45号","5","出入り口横","35.66067","139.735011"
"麻布慶福苑","東京都港区南麻布五丁目1番20号","1","1階:元公衆電話台","35.653745","139.721924"
"麻布子ども中高生プラザ","東京都港区南麻布四丁目6番7号","8","1階読書展示コーナー","35.650976","139.727544"
"麻布小学校","東京都港区麻布台一丁目5番15号","5","出入り口横","35.661832","139.738648"
"六本木高等学校","東京都港区六本木六丁目16番36号","5","1Fエントランス","35.657736","139.731209"
"六本木中学校","東京都港区六本木六丁目8番16号","5","出入り口横","35.660826","139.732266"
"笄小学校","東京都港区西麻布三丁目11番16号","10","校舎入口","35.65648","139.724891"
"セブン-イレブン赤坂1丁目","東京都港区赤坂一丁目11番30号","1",,"35.668991","139.741408"
"セブン-イレブン港区三田3丁目","東京都港区三田三丁目7番15号","1",,"35.643099","139.741948"
"セブン-イレブン港区北青山3丁目","東京都港区北青山三丁目8番9号","1",,"35.664996","139.710402"
"セブン-イレブン港区海岸3丁目","東京都港区海岸三丁目7番20号","1",,"35.636709","139.752577"
"セブン-イレブン虎ノ門駅前","東京都港区虎ノ門一丁目1番23号","1",,"35.670405","139.750149"
"セブン-イレブン港区麻布十番3丁目","東京都港区麻布十番三丁目5番7号","1",,"35.653167","139.735789"
"セブン-イレブン芝大門1丁目","東京都港区芝大門一丁目14番6号","1",,"35.657201","139.753699"
"セブン-イレブン白金台駅前","東京都港区白金台三丁目2番3号","1",,"35.637491","139.725949"
"セブン-イレブン港区西麻布3丁目","東京都港区西麻布三丁目13番13号","1",,"35.656961","139.72406"
"セブン-イレブン港区芝3丁目","東京都港区芝三丁目15番9号","1",,"35.653115","139.745402"
"セブン-イレブン六本木5丁目","東京都港区六本木五丁目2番1号","1",,"35.662408","139.733573"
"セブン-イレブン新橋第一京浜","東京都港区新橋五丁目13番1号","1",,"35.663139","139.757082"
"セブン-イレブン赤坂5丁目","東京都港区赤坂五丁目4番8号","1",,"35.67191","139.735758"
"セブン-イレブン六本木7丁目","東京都港区六本木七丁目10番3号","1",,"35.664624","139.72912"
"セブン-イレブン港区汐彩橋","東京都港区海岸三丁目3番20号","1",,"35.640575","139.753572"
"セブン-イレブン虎ノ門1丁目桜田通り","東京都港区虎ノ門一丁目22番15号","1",,"35.667302","139.748096"
"セブン-イレブン港区南青山7丁目","東京都港区南青山七丁目3番1号","1",,"35.658822","139.715691"
