実数・増加率,年次・月次コード,年次・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,生計支出（円）,生計支出／消費支出（円）,生計支出／消費支出／食料（円）,生計支出／消費支出／住居（円）,生計支出／消費支出／光熱・水道（円）,生計支出／消費支出／家具・家事用品（円）,生計支出／消費支出／被服及び履物（円）,生計支出／消費支出／保健医療（円）,生計支出／消費支出／交通・通信（円）,生計支出／消費支出／教育（円）,生計支出／消費支出／教養娯楽（円）,生計支出／消費支出／その他の消費支出（円）,生計支出／消費支出／その他の消費支出／うち諸雑費（円）,生計支出／土地家屋購入（円）
jissu,nen,実数_平成5年平均,1993,,965,3.42,1.59,52,392352,380114,92145,30661,21138,13033,26291,11780,32662,23255,43995,85155,21855,12238
jissu,nen,実数_平成6年平均,1994,,961,3.35,1.54,52,392073,373411,89608,33579,21561,13222,25076,11489,33753,22495,40009,82618,22266,18662
jissu,nen,実数_平成7年平均,1995,,963,3.27,1.52,52.9,377324,362746,86423,34657,22158,13149,23716,11669,31860,19678,40113,79322,21725,14578
jissu,nen,実数_平成8年平均,1996,,966,3.25,1.51,52.5,381377,356055,85420,36050,21860,12146,22342,10814,32719,20468,38832,75404,19883,25322
jissu,nen,実数_平成9年平均,1997,,968,3.19,1.46,53.5,373851,365201,85436,35463,22420,12447,22536,12977,33454,21329,41042,78097,21189,8651
jissu,nen,実数_平成10年平均,1998,,967,3.19,1.47,53.4,"366,334","357,720","85,732","33,016","22,874","12,153","21,148","12,843","35,351","18,572","40,563","75,468","21,396","8,614"
jissu,nen,実数_平成11年平均,1999,,968,3.14,1.44,53.6,"354,724","342,023","83,607","31,732","22,402","11,393","20,093","12,382","30,957","16,499","38,503","74,456","21,373","12,701"
jissu,nen,実数_平成12年平均,2000,,965,3.11,1.35,54.6,"357,424","345,363","81,839","32,148","22,791","11,868","19,199","12,997","34,411","18,850","39,739","71,520","18,561","12,062"
jissu,nen,実数_平成13年平均,2001,,962,3.13,1.4,54.9,"351,098","332,940","79,619","31,721","22,931","11,756","17,639","13,194","32,942","17,769","38,215","67,155","19,351","18,158"
jissu,nen,実数_平成14年平均,2002,,963,3.11,1.35,54.9,"335,066","330,451","81,048","32,087","21,866","10,705","17,482","12,557","34,089","16,465","38,091","66,062","19,795","4,615"
jissu,tuki,実数_平成5年1月,1993,1,956,3.48,1.62,52.5,"346,027","346,027","81,979","23,811","24,224","10,734","24,868","10,830","25,156","20,011","35,327","89,087","15,462",-
jissu,tuki,実数_平成5年2月,1993,2,960,3.44,1.61,52.5,"340,552","326,766","83,989","27,244","26,264","10,484","19,027","9,538","25,888","25,293","36,195","62,844","17,261","13,786"
jissu,tuki,実数_平成5年3月,1993,3,972,3.4,1.61,52.6,"427,300","396,632","92,298","29,753","24,701","10,589","29,079","13,224","35,407","32,963","43,372","85,245","21,255","30,669"
jissu,tuki,実数_平成5年4月,1993,4,974,3.4,1.63,52.6,"405,827","405,736","90,468","30,795","22,802","11,824","26,052","10,716","37,892","49,511","40,809","84,867","27,048",92
jissu,tuki,実数_平成5年5月,1993,5,964,3.39,1.59,52.4,"383,843","370,736","95,278","34,647","21,386","15,038","26,508","12,217","28,329","11,790","43,906","81,637","20,882","13,107"
jissu,tuki,実数_平成5年6月,1993,6,957,3.4,1.57,51.8,"386,910","363,430","89,750","33,884","18,907","11,752","25,372","12,072","29,111","13,778","42,232","86,573","23,649",23480
jissu,tuki,実数_平成5年7月,1993,7,955,3.37,1.57,51.6,"414,137","400,470","91,380","33,546","17,770","15,142","30,076","11,925","35,587","19,987","53,377","91,679","20,476","13,667"
jissu,tuki,実数_平成5年8月,1993,8,964,3.41,1.61,51.4,"381,505","373,387","91,187","28,144","18,648","12,410","18,649","12,676","36,888","12,356","59,744","82,685","24,521","8,118"
jissu,tuki,実数_平成5年9月,1993,9,971,3.41,1.56,51.6,"376,771","363,429","89,793","29,314","18,748","10,729","21,149","11,456","31,883","32,199","44,403","73,756","18,694",13342
jissu,tuki,実数_平成5年10月,1993,10,970,3.43,1.56,51.5,"376,554","373,828","93,689","28,707","19,375","13,645","30,248","12,756","34,298","24,978","38,716","77,415","22,182","2,726"
jissu,tuki,実数_平成5年11月,1993,11,965,3.42,1.55,51.7,"384,242","356,314","88,895","28,942","19,085","12,762","28,668","10,684","28,415","17,191","36,182","85,490","26,851","27,928"
jissu,tuki,実数_平成5年12月,1993,12,968,3.42,1.58,51.8,"483,487","483,487","116,799","39,114","21,727","21,273","35,723","13,235","42,876","18,464","53,690","120,587","23,857",-
jissu,tuki,実数_平成6年1月,1994,1,966,3.43,1.57,52.1,"367,101","367,059","80,943","24,796","25,346","10,826","26,785","10,584","31,375","28,534","35,611","92,259","20,033",42
jissu,tuki,実数_平成6年2月,1994,2,966,3.41,1.54,52.1,"338,530","338,521","83,641","30,075","26,543","10,705","18,808","10,326","25,214","30,207","36,110","66,891","17,792",8
jissu,tuki,実数_平成6年3月,1994,3,962,3.39,1.54,51.9,"390,271","390,271","91,498","30,305","25,099","13,197","25,914","11,823","33,872","27,984","42,083","88,497","27,170",-
jissu,tuki,実数_平成6年4月,1994,4,960,3.41,1.55,52,"402,603","400,747","86,512","27,880","22,542","10,654","26,349","10,299","42,592","53,533","42,196","78,191","18,823","1,856"
jissu,tuki,実数_平成6年5月,1994,5,966,3.39,1.58,51.9,"360,984","359,135","91,092","31,363","21,433","11,232","26,385","12,050","31,294","16,135","42,832","75,318","20,991",1849
jissu,tuki,実数_平成6年6月,1994,6,964,3.35,1.56,52,"369,897","358,070","88,209","39,107","18,231","11,867","25,700","10,915","31,421","15,578","35,978","81,063","18,730",11827
jissu,tuki,実数_平成6年7月,1994,7,953,3.34,1.57,51.8,"473,153","386,603","90,542","37,031","17,881","16,032","28,278","12,144","38,717","13,644","42,829","89,504","21,685",86551
jissu,tuki,実数_平成6年8月,1994,8,957,3.3,1.54,51.8,"364,404","362,482","89,441","30,354","20,483","14,902","17,520","11,599","37,309","9,611","51,659","79,605","21,599",1922
jissu,tuki,実数_平成6年9月,1994,9,961,3.29,1.52,51.9,"390,814","344,115","86,261","34,398","21,690","11,910","16,126","12,917","35,076","22,995","33,948","68,795","23,380","46,698"
jissu,tuki,実数_平成6年10月,1994,10,958,3.27,1.52,52.1,"416,543","352,872","88,853","36,808","19,611","13,985","26,306","9,874","35,120","20,934","35,528","65,854","16,498","63,671"
jissu,tuki,実数_平成6年11月,1994,11,958,3.27,1.51,52.2,"362,440","362,440","85,965","37,572","18,840","12,907","28,283","11,255","29,993","14,747","33,039","89,839","34,577",-
jissu,tuki,実数_平成6年12月,1994,12,962,3.31,1.49,52.2,"469,370","458,840","112,384","43,350","20,946","20,515","34,463","14,080","33,199","15,890","48,376","115,638","25,951","10,531"
jissu,tuki,実数_平成7年1月,1995,1,953,3.28,1.45,52.6,"349,710","347,881","77,706","32,528","24,719","9,752","22,220","8,978","25,724","16,980","34,662","94,611","23,035","1,829"
jissu,tuki,実数_平成7年2月,1995,2,959,3.29,1.49,52.5,"327,274","326,000","79,258","28,046","26,843","12,208","18,253","9,697","30,394","22,049","33,777","65,475","19,421","1,274"
jissu,tuki,実数_平成7年3月,1995,3,962,3.26,1.5,52.9,"422,948","368,662","86,355","29,724","24,963","12,690","22,614","11,202","36,018","26,876","41,368","76,851","18,653","54,286"
jissu,tuki,実数_平成7年4月,1995,4,966,3.28,1.52,52.8,"407,750","380,291","85,156","32,937","24,583","11,852","22,972","9,278","31,143","42,094","39,516","80,760","26,689",27459
jissu,tuki,実数_平成7年5月,1995,5,965,3.27,1.51,52.8,"355,266","355,197","88,437","29,894","21,266","12,558","24,155","12,288","31,952","11,844","38,365","84,437","26,283",69
jissu,tuki,実数_平成7年6月,1995,6,964,3.25,1.54,53.1,"354,997","350,772","84,867","34,079","19,403","12,586","25,992","10,883","36,349","12,426","36,871","77,316","21,182","4,225"
jissu,tuki,実数_平成7年7月,1995,7,973,3.26,1.55,52.9,"403,582","376,373","86,125","36,701","18,429","15,485","28,426","13,324","36,561","14,911","42,479","83,932","20,487","27,209"
jissu,tuki,実数_平成7年8月,1995,8,965,3.26,1.54,53.2,"386,646","360,112","88,095","33,893","21,677","13,441","15,348","12,975","34,508","10,592","52,985","76,598","20,924","26,534"
jissu,tuki,実数_平成7年9月,1995,9,963,3.29,1.55,52.9,"355,164","352,217","84,907","33,325","22,046","12,252","20,673","13,372","27,203","32,009","36,249","70,180","20,353","2,947"
jissu,tuki,実数_平成7年10月,1995,10,961,3.27,1.54,53.3,"353,309","353,155","86,007","37,954","20,932","13,557","26,964","12,219","29,157","16,403","40,662","69,299","23,742",155
jissu,tuki,実数_平成7年11月,1995,11,962,3.26,1.55,53.1,"344,113","341,195","82,894","37,658","18,247","12,959","26,301","12,529","30,292","13,537","36,811","69,967","19,687","2,917"
jissu,tuki,実数_平成7年12月,1995,12,962,3.27,1.56,53,"466,327","440,655","107,169","49,114","22,862","18,398","30,620","13,239","32,889","16,421","47,490","102,453","20,242","25,672"
jissu,tuki,実数_平成8年1月,1996,1,960,3.25,1.53,53,"383,702","352,415","76,942","31,557","25,761","9,913","22,646","10,818","31,707","18,262","33,422","91,386","22,716","31,286"
jissu,tuki,実数_平成8年2月,1996,2,966,3.21,1.51,53.1,"366,476","321,269","80,688","31,729","27,698","11,028","17,602","12,892","22,165","21,564","35,204","60,699","16,759","45,207"
jissu,tuki,実数_平成8年3月,1996,3,964,3.21,1.5,53.1,"387,292","383,642","86,127","34,765","25,352","11,084","23,104","8,982","39,081","30,841","37,489","86,817","29,864",3649
jissu,tuki,実数_平成8年4月,1996,4,965,3.24,1.52,52.3,"384,743","375,047","84,929","32,853","23,775","9,984","21,775","9,376","30,779","50,834","37,596","73,146","19,823","9,696"
jissu,tuki,実数_平成8年5月,1996,5,964,3.25,1.5,52.2,"346,845","342,647","87,649","42,171","20,690","10,229","21,693","11,350","33,012","11,356","37,362","67,135","18,004","4,198"
jissu,tuki,実数_平成8年6月,1996,6,967,3.25,1.47,52.5,"363,145","356,388","85,277","45,769","19,695","13,783","24,505","11,843","29,516","12,682","38,842","74,477","19,740","6,757"
jissu,tuki,実数_平成8年7月,1996,7,962,3.26,1.5,52,"493,854","366,044","85,352","37,017","18,608","13,858","24,469","9,464","38,841","16,365","38,599","83,470","23,192","127,811"
jissu,tuki,実数_平成8年8月,1996,8,961,3.26,1.52,51.8,"360,097","356,455","83,838","34,743","20,296","12,759","15,828","11,612","39,807","8,623","48,539","80,410","17,015","3,642"
jissu,tuki,実数_平成8年9月,1996,9,967,3.27,1.52,52,"330,341","329,015","82,261","29,896","19,409","10,265","17,523","8,905","32,791","27,283","38,050","62,631","15,424","1,326"
