,,,,,,,,,,(単位：隻、総トン）,
航路別,平成31年(2019年),,平成30年(2018年),,平成29年(2017年),,平成28年(2016年),,平成27年(2015年),,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,
合計,"23,382","179,911,843","24,374","182,980,285","23,604","174,745,700","22,665","170,426,797","23,997","161,235,534",
外航計,"5,247","134,062,240","5,504","137,427,504","5,355","130,776,662","5,366","128,494,863","5,240","119,868,419",
外航定期計,"4,964","128,921,790","5,125","130,767,857","5,032","125,920,299","4,919","122,754,598","4,816","115,252,878",
世界一周,-,-,-,-,-,-,-,-,-,-,
北米西岸(メキシコ含む),442,"30,299,222",581,"36,948,199",577,"34,691,023",626,"37,121,221",582,"33,931,017",
北米東岸(カリビア海含む),131,"8,676,652",106,"8,287,424",118,"8,821,200",133,"8,401,692",109,"5,861,421",
北欧・地中海,103,"10,128,588",64,"5,993,052",68,"6,452,723",57,"5,688,814",65,"6,190,246",
南米西岸,46,"5,942,082",47,"4,866,926",53,"3,763,426",48,"3,539,596",44,"3,210,168",
南米東岸,-,-,-,-,-,-,-,-,1,"59,307",
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,
アフリカ,-,-,-,-,-,-,-,-,-,-,
オセアニア,55,"2,420,932",120,"4,064,389",68,"2,406,725",52,"2,207,446",52,"2,184,987",
印パ･ペルシャ･ベンガル,-,-,16,"785,499",65,"3,363,041",48,"2,513,697",-,-,
東南アジア,"1,785","44,860,905","1,733","42,353,138","1,597","37,026,406","1,671","38,114,553","1,594","37,716,646",
台湾,-,-,-,-,-,-,-,-,-,-,
韓国,526,"4,623,974",563,"5,069,037",586,"4,855,668",582,"4,925,241",623,"5,367,491",
中国(香港含む),"1,876","21,969,435","1,895","22,400,193","1,900","24,540,087","1,702","20,242,338","1,746","20,731,595",
ナホトカ,-,-,-,-,-,-,-,-,-,-,
外航不定期,283,"5,140,450",379,"6,659,647",323,"4,856,363",447,"5,740,265",424,"4,615,541",
内航計,"18,135","45,849,603","18,870","45,552,781","18,249","43,969,038","17,299","41,931,934","18,757","41,367,115",
内航定期計,"6,790","33,391,045","6,814","32,326,465","5,962","30,643,642","10,650","35,523,368","2,908","19,911,111",
北海道,"1,235","13,157,007","1,200","13,219,613","1,189","12,492,820","1,145","11,888,167",741,"8,106,787",
東北,688,"557,104",737,"529,813",422,"317,956",536,"372,974",-,-,
関東,"1,113","345,128","1,225","457,268",907,"208,188","3,528","3,971,382",-,-,
伊豆諸島,"1,874","3,648,198","1,845","3,596,883","1,941","3,604,088","3,127","4,636,429","1,224","2,197,197",
中部,397,"435,424",412,"403,851",214,"163,746",167,"194,771",-,-,
近畿,145,"265,671",152,"386,843",72,"392,619",195,"65,782",-,-,
中国,-,-,-,-,-,-,182,"279,946",-,-,
四国,-,-,-,-,-,-,321,"171,260",-,-,
九州,"1,054","11,984,335",961,"10,752,210",933,"10,549,372","1,158","10,980,084",734,"7,904,326",
沖縄,284,"2,998,178",282,"2,979,984",284,"2,914,853",291,"2,962,573",209,"1,702,801",
内航不定期,"11,345","12,458,558","12,056","13,226,316","12,287","13,325,396","6,649","6,408,566","15,849","21,456,004",
,,,,,,,,,,,
（注）オセアニアはオーストラリア・ニュージーランド・南太平洋諸島,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
