,,,,,,,,,,,,,,(単位：隻、総トン),
,,係留施設別,合計,,,,外航,,,,内航,,,,
,,,隻 数,構成比,総トン数,構成比,隻 数,構成比,総トン数,構成比,隻 数,構成比,総トン数,構成比,
合計,,,"23,382",100.0%,"179,911,843",100.0%,"5,247",100.0%,"134,062,240",100.0%,"18,135",100.0%,"45,849,603",100.0%,
ドルフィン,,,52,0.2%,"33,108",0.0%,-,-,-,-,52,0.3%,"33,108",0.1%,
芝浦,,,682,2.9%,"1,084,505",0.6%,-,-,-,-,682,3.8%,"1,084,505",2.4%,
,,芝浦ふ頭,382,1.6%,"947,283",0.5%,-,-,-,-,382,2.1%,"947,283",2.1%,
,,芝浦物揚場,300,1.3%,"137,222",0.1%,-,-,-,-,300,1.7%,"137,222",0.3%,
日の出,,,86,0.4%,"61,538",0.0%,-,-,-,-,86,0.5%,"61,538",0.1%,
,,日の出ふ頭,86,0.4%,"61,538",0.0%,-,-,-,-,86,0.5%,"61,538",0.1%,
竹芝,,,"1,942",8.3%,"4,360,847",2.4%,-,-,-,-,"1,942",10.7%,"4,360,847",9.5%,
,,竹芝ふ頭,"1,942",8.3%,"4,360,847",2.4%,-,-,-,-,"1,942",10.7%,"4,360,847",9.5%,
品川,,,"1,719",7.4%,"18,738,453",10.4%,891,17.0%,"8,951,808",6.7%,828,4.6%,"9,786,645",21.3%,
,品川岸壁,,"1,719",7.4%,"18,738,453",10.4%,891,17.0%,"8,951,808",6.7%,828,4.6%,"9,786,645",21.3%,
,,品川コンテナ,930,4.0%,"8,587,798",4.8%,859,16.4%,"8,515,846",6.4%,71,0.4%,"71,952",0.2%,
,,品川外貿,32,0.1%,"435,962",0.2%,32,0.6%,"435,962",0.3%,-,-,-,-,
,,品川内貿,757,3.2%,"9,714,693",5.4%,-,-,-,-,757,4.2%,"9,714,693",21.2%,
晴海,,,116,0.5%,"1,624,015",0.9%,36,0.7%,"1,307,779",1.0%,80,0.4%,"316,236",0.7%,
,,晴海ふ頭,97,0.4%,"1,580,922",0.9%,36,0.7%,"1,307,779",1.0%,61,0.3%,"273,143",0.6%,
,,官公庁（晴海）,19,0.1%,"43,093",0.0%,-,-,-,-,19,0.1%,"43,093",0.1%,
月島,,,133,0.6%,"70,088",0.0%,1,0.0%,"1,211",0.0%,132,0.7%,"68,877",0.2%,
,,月島ふ頭,43,0.2%,"14,944",0.0%,-,-,-,-,43,0.2%,"14,944",0.0%,
,,漁業基地,28,0.1%,"43,032",0.0%,1,0.0%,"1,211",0.0%,27,0.1%,"41,821",0.1%,
,,官公庁（月島）,62,0.3%,"12,112",0.0%,-,-,-,-,62,0.3%,"12,112",0.0%,
10号地その2,,,"1,537",6.6%,"13,426,175",7.5%,-,-,-,-,"1,537",8.5%,"13,426,175",29.3%,
,,10号西岸壁,815,3.5%,"8,851,886",4.9%,-,-,-,-,815,4.5%,"8,851,886",19.3%,
,,10号東岸壁,373,1.6%,"164,325",0.1%,-,-,-,-,373,2.1%,"164,325",0.4%,
,,東京港フェリーふ頭,349,1.5%,"4,409,964",2.5%,-,-,-,-,349,1.9%,"4,409,964",9.6%,
10号地その1,,,26,0.1%,"81,580",0.0%,1,0.0%,"1,920",0.0%,25,0.1%,"79,660",0.2%,
,,多目的ふ頭,26,0.1%,"81,580",0.0%,1,0.0%,"1,920",0.0%,25,0.1%,"79,660",0.2%,
辰巳,,,959,4.1%,"339,122",0.2%,-,-,-,-,959,5.3%,"339,122",0.7%,
,,辰巳ふ頭,959,4.1%,"339,122",0.2%,-,-,-,-,959,5.3%,"339,122",0.7%,
13号地その2,,,"2,904",12.4%,"44,469,644",24.7%,"1,923",36.6%,"42,887,490",32.0%,981,5.4%,"1,582,154",3.5%,
,,青海コンテナふ頭（公共）,"1,575",6.7%,"18,097,076",10.1%,"1,010",19.2%,"17,582,385",13.1%,565,3.1%,"514,691",1.1%,
,,青海コンテナふ頭(埠頭㈱),909,3.9%,"23,382,998",13.0%,769,14.7%,"23,246,092",17.3%,140,0.8%,"136,906",0.3%,
,,お台場ライナーふ頭,420,1.8%,"2,989,570",1.7%,144,2.7%,"2,059,013",1.5%,276,1.5%,"930,557",2.0%,
13号地その1,,,83,0.4%,"87,116",0.0%,-,-,-,-,83,0.5%,"87,116",0.2%,
,,有明ふ頭,70,0.3%,"55,832",0.0%,-,-,-,-,70,0.4%,"55,832",0.1%,
,,官公庁（有明）,13,0.1%,"31,284",0.0%,-,-,-,-,13,0.1%,"31,284",0.1%,
大井,,,"3,457",14.8%,"78,541,352",43.7%,"2,069",39.4%,"77,026,504",57.5%,"1,388",7.7%,"1,514,848",3.3%,
,,大井コンテナふ頭,"3,155",13.5%,"76,736,857",42.7%,"1,968",37.5%,"75,255,134",56.1%,"1,187",6.5%,"1,481,723",3.2%,
,,大井水産物ふ頭,6,0.0%,"418,940",0.2%,5,0.1%,"418,561",0.3%,1,0.0%,379,0.0%,
,,大井食品ふ頭（OL）,233,1.0%,"820,154",0.5%,35,0.7%,"787,909",0.6%,198,1.1%,"32,245",0.1%,
,,大井食品ふ頭（OM）,56,0.2%,"505,976",0.3%,56,1.1%,"505,976",0.4%,-,-,-,-,
,,大井食品ふ頭（ON）,7,0.0%,"59,425",0.0%,5,0.1%,"58,924",0.0%,2,0.0%,501,0.0%,
若洲,,,662,2.8%,"1,937,254",1.1%,7,0.1%,"231,032",0.2%,655,3.6%,"1,706,222",3.7%,
,,若洲内貿ふ頭,142,0.6%,"1,424,828",0.8%,-,-,-,-,142,0.8%,"1,424,828",3.1%,
,,15号地木材ふ頭,38,0.2%,"237,550",0.1%,7,0.1%,"231,032",0.2%,31,0.2%,"6,518",0.0%,
,,若洲建材ふ頭,482,2.1%,"274,876",0.2%,-,-,-,-,482,2.7%,"274,876",0.6%,
城南島,,,"1,470",6.3%,"909,377",0.5%,-,-,-,-,"1,470",8.1%,"909,377",2.0%,
,,大井建材ふ頭,943,4.0%,"543,563",0.3%,-,-,-,-,943,5.2%,"543,563",1.2%,
,,城南島建設発生土ふ頭,527,2.3%,"365,814",0.2%,-,-,-,-,527,2.9%,"365,814",0.8%,
中央防波堤,,,367,1.6%,"3,007,943",1.7%,21,0.4%,"284,267",0.2%,346,1.9%,"2,723,676",5.9%,
,,中央防波堤内側ばら物ふ頭,63,0.3%,"333,844",0.2%,21,0.4%,"284,267",0.2%,42,0.2%,"49,577",0.1%,
,,中央防波堤内側建設発生土ふ頭,59,0.3%,"81,049",0.0%,-,-,-,-,59,0.3%,"81,049",0.2%,
,,中央防波堤内側内貿ふ頭,245,1.0%,"2,593,050",1.4%,-,-,-,-,245,1.4%,"2,593,050",5.7%,
民間,,,"7,187",30.7%,"11,139,726",6.2%,298,5.7%,"3,370,229",2.5%,"6,889",38.0%,"7,769,497",16.9%,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
