平成31年(2019年),,,,,,,,(単位：隻、総トン）
国籍,隻数,総トン数,国籍,隻数,総トン数,国籍,隻数,総トン数
中国,"1,491","22,905,950",台湾,68,"3,124,106",カタール,3,"114,960"
(香港),"1,413","21,260,394",イギリス,59,"3,125,530",ベトナム,3,"29,859"
パナマ,917,"37,783,779",蘭領アンティル,55,"492,782",ベルギー,2,"84,719"
シンガポール,547,"17,281,316",ドイツ,32,"2,890,059",パラオ,2,"9,448"
リベリア,478,"13,224,811",タイ,27,"263,439",トーゴ,2,"4,579"
韓国,327,"3,086,647",ベリーズ,26,"128,815",ニウエ,1,"4,519"
バハマ,296,"5,431,342",日本,17,"1,226,868",チリ,1,"3,673"
マーシャル諸島,269,"10,633,986",シエラレオネ,16,"68,863",キリバス,1,"2,911"
アンティグア･バーブーダ,235,"2,429,474",モントセラト,10,"783,160",フィリピン,1,"2,098"
キプロス,153,"1,961,935",イタリア,9,"667,833",,,
ポルトガル,96,"3,196,849",デンマーク,8,"215,591",,,
マルタ,88,"2,614,465",ノルウェー,7,"267,874",合計,"5,247","134,062,240"
