"年度","式室利用件数[件]","仮安置室利用日数[日]"
"2014","303","261"
"2015","283","245"
"2016","249","193"
"2017","258","249"
"2018","104","92"

"令和元年度港区行政資料集　施設利用状況一覧 やすらぎ会館（区民斎場）","Ver201903",
