"課税標準額段階","納税義務者数[人]","納税義務者数 構成比[%]","総所得金額等[千円]","所得割額[千円]","所得割額 構成比[%]"
"10万円以下の金額",3241,2.3,1919546,1190733,1.7
"10万円を超える金額",21986,15.5,29747368,949793,1.3
"100万円を超える金額",26223,18.5,62702006,2439404,3.5
"200万円を超える金額",20159,14.3,72700806,3133358,4.4
"300万円を超える金額",14233,10.1,68477303,2972326,4.2
"400万円を超える金額",13962,9.9,87391450,3935355,5.6
"550万円を超える金額",8902,6.3,70491171,3376280,4.8
"700万円を超える金額",10527,7.4,107295204,5177078,7.3
"1,000万円を超える金額",22163,15.7,799995881,47385862,67.2

"平成30年度港区行政資料集　平成30年度特別区民税課税標準額段階別納税義務者数等","Ver201807",,,,
