"年度","新規相談受理数[件]","親子ふれあい広場利用者数[人]"
"2013","617","23816"
"2014","813","24649"
"2015","926","23761"
"2016","948","24737"
"2017","1088","24659"

"平成30年度港区行政資料集　施設利用状況一覧 子ども家庭支援センター","Ver201803",
