 1-(4)海上出入貨物航路別表,,,,,,,,,,,,(単位：トン）
航路別,合計,,,,,,コンテナ船計,,,,,
,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨,計,出貨,入貨
合計,"8,045,082","2,540,136","5,504,946","75,852,421","24,233,017","51,619,404","5,356,662","1,755,772","3,600,890","50,689,513","16,795,310","33,894,203"
外航計,"4,343,787","1,143,852","3,199,935","41,265,449","11,050,922","30,214,527","4,216,498","1,105,223","3,111,275","40,047,341","10,627,966","29,419,375"
外航定期計,"4,232,248","1,120,973","3,111,275","40,100,557","10,644,288","29,456,269","4,216,498","1,105,223","3,111,275","40,047,341","10,627,966","29,419,375"
世界一周,-,-,-,-,-,-,-,-,-,-,-,-
北米西岸(メキシコ含む),"639,562","214,834","424,728","5,659,872","1,889,973","3,769,899","639,562","214,834","424,728","5,659,872","1,889,973","3,769,899"
北米東岸(カリビア海含む),"117,730","61,623","56,107","1,391,676","512,148","879,528","117,730","61,623","56,107","1,391,676","512,148","879,528"
北欧・地中海,"279,805","123,246","156,559","2,565,501","1,120,555","1,444,946","279,805","123,246","156,559","2,565,486","1,120,555","1,444,931"
南米西岸,"30,005","3,759","26,246","467,914","17,576","450,338","30,005","3,759","26,246","467,914","17,576","450,338"
南米東岸,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"51,084","6,372","44,712","652,907","99,908","552,999","51,084","6,372","44,712","652,907","99,908","552,999"
印パ･ペルシャ･ベンガル,-,-,-,"328,876","262,810","66,066",-,-,-,"328,876","262,810","66,066"
東南アジア,"1,865,871","481,209","1,384,662","16,429,316","4,306,942","12,122,374","1,850,121","465,459","1,384,662","16,383,966","4,290,620","12,093,346"
台湾,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"179,585","49,527","130,058","1,649,054","455,986","1,193,068","179,585","49,527","130,058","1,649,054","455,986","1,193,068"
中国(香港含む),"1,068,606","180,403","888,203","10,955,441","1,978,390","8,977,051","1,068,606","180,403","888,203","10,947,590","1,978,390","8,969,200"
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,"111,539","22,879","88,660","1,164,892","406,634","758,258",-,-,-,-,-,-
内航計,"3,701,295","1,396,284","2,305,011","34,586,972","13,182,095","21,404,877","1,140,164","650,549","489,615","10,642,172","6,167,344","4,474,828"
内航定期計,"2,158,502","1,198,475","960,027","19,773,294","10,879,246","8,894,048","1,110,228","633,046","477,182","10,118,874","5,811,361","4,307,513"
北海道,"417,663","232,496","185,167","3,888,495","2,180,348","1,708,147","417,663","232,496","185,167","3,888,495","2,180,348","1,708,147"
東北,"27,046","13,812","13,234","316,411","155,290","161,121","26,253","13,812","12,441","296,466","147,514","148,952"
関東,"53,497","28,808","24,689","474,656","250,981","223,675",-,-,-,-,-,-
伊豆諸島,"7,199","4,976","2,223","70,771","45,688","25,083",-,-,-,-,-,-
中部,"14,700","2,820","11,880","116,937","21,272","95,665","14,700","2,820","11,880","114,719","21,272","93,447"
近畿,"6,663",226,"6,437","35,253","1,597","33,656","6,663",226,"6,437","35,253","1,597","33,656"
中国,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,503,724","820,782","682,942","13,704,788","7,355,542","6,349,246","516,939","289,137","227,802","4,617,958","2,592,102","2,025,856"
沖縄,"128,010","94,555","33,455","1,165,983","868,528","297,455","128,010","94,555","33,455","1,165,983","868,528","297,455"
内航不定期,"1,542,793","197,809","1,344,984","14,813,678","2,302,849","12,510,829","29,936","17,503","12,433","523,298","355,983","167,315"
,,,,,,,,,,,,
（注）オセアニアは豪州・ニュージーランド・南太平洋諸島,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
